Generation: 5
1, 9, -212, {'epochs': 63, 'units1': 79, 'act1': 'linear', 'units2': 167, 'act2': 'elu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 18, -215, {'epochs': 180, 'units1': 117, 'act1': 'elu', 'units2': 228, 'act2': 'tanh', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 10, -195, {'epochs': 108, 'units1': 24, 'act1': 'elu', 'units2': 66, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 17, -196, {'epochs': 122, 'units1': 32, 'act1': 'linear', 'units2': 196, 'act2': 'selu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 10, -213, {'epochs': 110, 'units1': 3, 'act1': 'selu', 'units2': 181, 'act2': 'linear', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 19, -195, {'epochs': 164, 'units1': 246, 'act1': 'elu', 'units2': 28, 'act2': 'relu', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 200, -62889, {'epochs': 37, 'units1': 45, 'act1': 'selu', 'units2': 86, 'act2': 'relu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 200, 122, {'epochs': 120, 'units1': 300, 'act1': 'selu', 'units2': 107, 'act2': 'selu', 'act3': 'softmax', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, 93, {'epochs': 274, 'units1': 279, 'act1': 'selu', 'units2': 211, 'act2': 'relu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, -62886, {'epochs': 136, 'units1': 217, 'act1': 'elu', 'units2': 239, 'act2': 'tanh', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
2, 18, -679, {'epochs': 12, 'units1': 221, 'act1': 'elu', 'units2': 174, 'act2': 'tanh', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 9, -188, {'epochs': 107, 'units1': 163, 'act1': 'linear', 'units2': 171, 'act2': 'relu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
5, 60, 858, {'epochs': 165, 'units1': 255, 'act1': 'elu', 'units2': 213, 'act2': 'elu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, 157, {'epochs': 72, 'units1': 125, 'act1': 'relu', 'units2': 141, 'act2': 'linear', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 111, 'units1': 47, 'act1': 'tanh', 'units2': 199, 'act2': 'linear', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 10, -186, {'epochs': 92, 'units1': 232, 'act1': 'tanh', 'units2': 257, 'act2': 'elu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 200, -66901, {'epochs': 60, 'units1': 46, 'act1': 'elu', 'units2': 86, 'act2': 'softmax', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 30, -215, {'epochs': 245, 'units1': 112, 'act1': 'tanh', 'units2': 206, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 200, 107, {'epochs': 108, 'units1': 161, 'act1': 'relu', 'units2': 161, 'act2': 'linear', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 214, 'units1': 225, 'act1': 'selu', 'units2': 183, 'act2': 'linear', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
4, 296, 602, {'epochs': 57, 'units1': 242, 'act1': 'selu', 'units2': 102, 'act2': 'selu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 200, -65651, {'epochs': 156, 'units1': 78, 'act1': 'linear', 'units2': 246, 'act2': 'linear', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 200, -65651, {'epochs': 55, 'units1': 167, 'act1': 'relu', 'units2': 191, 'act2': 'tanh', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
4, 70, 377, {'epochs': 97, 'units1': 5, 'act1': 'linear', 'units2': 190, 'act2': 'selu', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 16, -177, {'epochs': 57, 'units1': 220, 'act1': 'elu', 'units2': 117, 'act2': 'elu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 154, 'units1': 155, 'act1': 'tanh', 'units2': 77, 'act2': 'relu', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, 113, {'epochs': 103, 'units1': 189, 'act1': 'relu', 'units2': 224, 'act2': 'linear', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 200, 75, {'epochs': 101, 'units1': 160, 'act1': 'linear', 'units2': 174, 'act2': 'relu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 19, -195, {'epochs': 252, 'units1': 85, 'act1': 'linear', 'units2': 29, 'act2': 'elu', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 200, -64895, {'epochs': 201, 'units1': 236, 'act1': 'elu', 'units2': 101, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 32, -1190, {'epochs': 96, 'units1': 50, 'act1': 'elu', 'units2': 171, 'act2': 'tanh', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 200, 87, {'epochs': 252, 'units1': 113, 'act1': 'tanh', 'units2': 193, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 179, 'units1': 40, 'act1': 'elu', 'units2': 96, 'act2': 'elu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 28, -192, {'epochs': 58, 'units1': 157, 'act1': 'linear', 'units2': 4, 'act2': 'tanh', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 14, -199, {'epochs': 248, 'units1': 220, 'act1': 'linear', 'units2': 124, 'act2': 'selu', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
5, 66, 1869, {'epochs': 37, 'units1': 84, 'act1': 'relu', 'units2': 55, 'act2': 'linear', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 53, 'units1': 36, 'act1': 'softmax', 'units2': 87, 'act2': 'elu', 'act3': 'softmax', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, 90, {'epochs': 140, 'units1': 141, 'act1': 'linear', 'units2': 142, 'act2': 'selu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
3, 282, 1107, {'epochs': 101, 'units1': 45, 'act1': 'linear', 'units2': 198, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 200, -64895, {'epochs': 142, 'units1': 115, 'act1': 'elu', 'units2': 5, 'act2': 'selu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 19, -195, {'epochs': 57, 'units1': 172, 'act1': 'relu', 'units2': 181, 'act2': 'tanh', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 19, -195, {'epochs': 89, 'units1': 76, 'act1': 'relu', 'units2': 149, 'act2': 'linear', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 165, 'units1': 245, 'act1': 'elu', 'units2': 27, 'act2': 'relu', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
4, 228, -65370, {'epochs': 105, 'units1': 62, 'act1': 'tanh', 'units2': 175, 'act2': 'elu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 10, -198, {'epochs': 117, 'units1': 224, 'act1': 'relu', 'units2': 206, 'act2': 'elu', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 200, 116, {'epochs': 231, 'units1': 29, 'act1': 'linear', 'units2': 32, 'act2': 'tanh', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 19, -195, {'epochs': 142, 'units1': 139, 'act1': 'linear', 'units2': 129, 'act2': 'selu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 21, -221, {'epochs': 1, 'units1': 213, 'act1': 'elu', 'units2': 174, 'act2': 'tanh', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 18, -221, {'epochs': 233, 'units1': 190, 'act1': 'linear', 'units2': 15, 'act2': 'relu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 9, -209, {'epochs': 7, 'units1': 217, 'act1': 'elu', 'units2': 161, 'act2': 'tanh', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 11, -214, {'epochs': 167, 'units1': 241, 'act1': 'relu', 'units2': 292, 'act2': 'linear', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 85, 'units1': 77, 'act1': 'linear', 'units2': 150, 'act2': 'relu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 200, -66904, {'epochs': 62, 'units1': 115, 'act1': 'tanh', 'units2': 37, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
8, 92, 3402, {'epochs': 145, 'units1': 135, 'act1': 'selu', 'units2': 98, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 33, -179, {'epochs': 238, 'units1': 211, 'act1': 'relu', 'units2': 117, 'act2': 'selu', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
