Generation: 7
1, 200, 107, {'epochs': 105, 'units1': 60, 'act1': 'elu', 'units2': 165, 'act2': 'tanh', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 20, -206, {'epochs': 104, 'units1': 60, 'act1': 'elu', 'units2': 172, 'act2': 'tanh', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 18, -218, {'epochs': 136, 'units1': 143, 'act1': 'linear', 'units2': 141, 'act2': 'selu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 19, -198, {'epochs': 113, 'units1': 37, 'act1': 'linear', 'units2': 206, 'act2': 'selu', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 10, -1205, {'epochs': 129, 'units1': 106, 'act1': 'relu', 'units2': 132, 'act2': 'selu', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
2, 219, 620, {'epochs': 97, 'units1': 9, 'act1': 'linear', 'units2': 166, 'act2': 'tanh', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 9, -212, {'epochs': 325, 'units1': 310, 'act1': 'relu', 'units2': 166, 'act2': 'selu', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, -62649, {'epochs': 8, 'units1': 223, 'act1': 'elu', 'units2': 173, 'act2': 'tanh', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 200, 116, {'epochs': 58, 'units1': 222, 'act1': 'elu', 'units2': 120, 'act2': 'elu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 18, -197, {'epochs': 68, 'units1': 55, 'act1': 'elu', 'units2': 184, 'act2': 'tanh', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, 122, {'epochs': 245, 'units1': 93, 'act1': 'elu', 'units2': 22, 'act2': 'linear', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, -66904, {'epochs': 132, 'units1': 118, 'act1': 'elu', 'units2': 12, 'act2': 'selu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 200, 122, {'epochs': 60, 'units1': 209, 'act1': 'elu', 'units2': 113, 'act2': 'elu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 21, -194, {'epochs': 105, 'units1': 12, 'act1': 'selu', 'units2': 181, 'act2': 'linear', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 9, -212, {'epochs': 284, 'units1': 215, 'act1': 'elu', 'units2': 79, 'act2': 'linear', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 22, -195, {'epochs': 76, 'units1': 216, 'act1': 'elu', 'units2': 130, 'act2': 'selu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, -58901, {'epochs': 248, 'units1': 220, 'act1': 'linear', 'units2': 124, 'act2': 'selu', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, -58904, {'epochs': 173, 'units1': 243, 'act1': 'relu', 'units2': 29, 'act2': 'elu', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 19, -195, {'epochs': 126, 'units1': 35, 'act1': 'selu', 'units2': 101, 'act2': 'selu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 22, -198, {'epochs': 197, 'units1': 132, 'act1': 'elu', 'units2': 183, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 21, -197, {'epochs': 33, 'units1': 85, 'act1': 'linear', 'units2': 62, 'act2': 'relu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, -66901, {'epochs': 76, 'units1': 126, 'act1': 'relu', 'units2': 134, 'act2': 'linear', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
4, 79, 364, {'epochs': 102, 'units1': 54, 'act1': 'tanh', 'units2': 166, 'act2': 'elu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 200, -66904, {'epochs': 238, 'units1': 219, 'act1': 'selu', 'units2': 113, 'act2': 'relu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 136, 'units1': 140, 'act1': 'linear', 'units2': 140, 'act2': 'selu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -207, {'epochs': 148, 'units1': 134, 'act1': 'elu', 'units2': 108, 'act2': 'selu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, 113, {'epochs': 101, 'units1': 61, 'act1': 'elu', 'units2': 166, 'act2': 'tanh', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
5, 51, 1828, {'epochs': 86, 'units1': 269, 'act1': 'tanh', 'units2': 199, 'act2': 'elu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, -66904, {'epochs': 174, 'units1': 243, 'act1': 'relu', 'units2': 21, 'act2': 'elu', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 9, -200, {'epochs': 53, 'units1': 159, 'act1': 'tanh', 'units2': 5, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, -47904, {'epochs': 122, 'units1': 32, 'act1': 'linear', 'units2': 196, 'act2': 'selu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 200, -66901, {'epochs': 165, 'units1': 256, 'act1': 'linear', 'units2': 265, 'act2': 'relu', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 9, -185, {'epochs': 193, 'units1': 229, 'act1': 'selu', 'units2': 110, 'act2': 'elu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
5, 59, 1860, {'epochs': 106, 'units1': 32, 'act1': 'linear', 'units2': 196, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
7, 301, 2171, {'epochs': 129, 'units1': 121, 'act1': 'elu', 'units2': 6, 'act2': 'selu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
5, 83, 846, {'epochs': 121, 'units1': 47, 'act1': 'selu', 'units2': 100, 'act2': 'selu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 200, 84, {'epochs': 142, 'units1': 139, 'act1': 'linear', 'units2': 129, 'act2': 'selu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 9, -209, {'epochs': 121, 'units1': 44, 'act1': 'selu', 'units2': 197, 'act2': 'linear', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 9, -206, {'epochs': 101, 'units1': 45, 'act1': 'tanh', 'units2': 198, 'act2': 'linear', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 18, -194, {'epochs': 53, 'units1': 223, 'act1': 'elu', 'units2': 117, 'act2': 'elu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 101, 'units1': 4, 'act1': 'selu', 'units2': 183, 'act2': 'linear', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 200, -59931, {'epochs': 232, 'units1': 28, 'act1': 'tanh', 'units2': 44, 'act2': 'linear', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 252, 'units1': 213, 'act1': 'linear', 'units2': 125, 'act2': 'selu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
