Generation: 1
1, 9, -200, {'epochs': 3, 'units1': 3, 'act1': 'elu', 'units2': 23, 'act2': 'relu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 200, 99, {'epochs': 5, 'units1': 13, 'act1': 'sigmoid', 'units2': 48, 'act2': 'selu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 12, 'units1': 1, 'act1': 'relu', 'units2': 26, 'act2': 'selu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 200, 99, {'epochs': 2, 'units1': 10, 'act1': 'linear', 'units2': 29, 'act2': 'selu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 200, 99, {'epochs': 12, 'units1': 3, 'act1': 'selu', 'units2': 27, 'act2': 'sigmoid', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 6, 'units1': 4, 'act1': 'sigmoid', 'units2': 3, 'act2': 'selu', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, 108, {'epochs': 9, 'units1': 5, 'act1': 'selu', 'units2': 25, 'act2': 'tanh', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 10, -213, {'epochs': 7, 'units1': 2, 'act1': 'selu', 'units2': 9, 'act2': 'linear', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
2, 223, 619, {'epochs': 14, 'units1': 1, 'act1': 'tanh', 'units2': 17, 'act2': 'selu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 200, 99, {'epochs': 2, 'units1': 7, 'act1': 'linear', 'units2': 11, 'act2': 'sigmoid', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 200, 102, {'epochs': 4, 'units1': 7, 'act1': 'relu', 'units2': 44, 'act2': 'linear', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
