Generation: 30
1, 10, -213, {'epochs': 104, 'units1': 168, 'act1': 'tanh', 'units2': 80, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
2, 241, 639, {'epochs': 100, 'units1': 238, 'act1': 'linear', 'units2': 111, 'act2': 'tanh', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 200, 116, {'epochs': 151, 'units1': 6, 'act1': 'tanh', 'units2': 160, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 18, -197, {'epochs': 143, 'units1': 4, 'act1': 'linear', 'units2': 159, 'act2': 'tanh', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
2, 18, 305, {'epochs': 133, 'units1': 2, 'act1': 'linear', 'units2': 152, 'act2': 'tanh', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 200, 108, {'epochs': 151, 'units1': 246, 'act1': 'selu', 'units2': 128, 'act2': 'selu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
5, 69, 1868, {'epochs': 101, 'units1': 226, 'act1': 'linear', 'units2': 104, 'act2': 'tanh', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, 96, {'epochs': 152, 'units1': 248, 'act1': 'selu', 'units2': 128, 'act2': 'selu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 10, -213, {'epochs': 189, 'units1': 255, 'act1': 'linear', 'units2': 142, 'act2': 'tanh', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 20, -220, {'epochs': 104, 'units1': 168, 'act1': 'tanh', 'units2': 80, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
2, 11, 300, {'epochs': 133, 'units1': 2, 'act1': 'linear', 'units2': 152, 'act2': 'tanh', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, 116, {'epochs': 151, 'units1': 246, 'act1': 'selu', 'units2': 128, 'act2': 'selu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 200, 116, {'epochs': 149, 'units1': 178, 'act1': 'selu', 'units2': 72, 'act2': 'selu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
Generation: 30
1, 9, -200, {'epochs': 102, 'units1': 176, 'act1': 'selu', 'units2': 183, 'act2': 'tanh', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 112, 'units1': 186, 'act1': 'tanh', 'units2': 207, 'act2': 'selu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 200, 80, {'epochs': 106, 'units1': 180, 'act1': 'selu', 'units2': 182, 'act2': 'tanh', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
