Generation: 3
1, 19, -216, {'epochs': 121, 'units1': 14, 'act1': 'linear', 'units2': 247, 'act2': 'elu', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
4, 255, 1647, {'epochs': 183, 'units1': 109, 'act1': 'relu', 'units2': 215, 'act2': 'linear', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, -574, {'epochs': 165, 'units1': 72, 'act1': 'sigmoid', 'units2': 191, 'act2': 'sigmoid', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 200, 113, {'epochs': 143, 'units1': 198, 'act1': 'linear', 'units2': 129, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 200, 113, {'epochs': 117, 'units1': 8, 'act1': 'linear', 'units2': 255, 'act2': 'elu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 9, -200, {'epochs': 135, 'units1': 205, 'act1': 'linear', 'units2': 135, 'act2': 'linear', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
2, 17, 316, {'epochs': 87, 'units1': 185, 'act1': 'tanh', 'units2': 60, 'act2': 'elu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 200, 84, {'epochs': 34, 'units1': 147, 'act1': 'linear', 'units2': 178, 'act2': 'selu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
8, 120, 3418, {'epochs': 178, 'units1': 7, 'act1': 'tanh', 'units2': 46, 'act2': 'linear', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 200, 110, {'epochs': 182, 'units1': 11, 'act1': 'linear', 'units2': 41, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
2, 18, 324, {'epochs': 42, 'units1': 86, 'act1': 'tanh', 'units2': 53, 'act2': 'selu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 19, -195, {'epochs': 194, 'units1': 180, 'act1': 'elu', 'units2': 65, 'act2': 'linear', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 10, -181, {'epochs': 47, 'units1': 174, 'act1': 'linear', 'units2': 172, 'act2': 'elu', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 200, -571, {'epochs': 130, 'units1': 84, 'act1': 'selu', 'units2': 113, 'act2': 'selu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, -532, {'epochs': 197, 'units1': 177, 'act1': 'elu', 'units2': 68, 'act2': 'linear', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
