Generation: 7
1, 19, -195, {'epochs': 143, 'units1': 193, 'act1': 'linear', 'units2': 134, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 14, -182, {'epochs': 224, 'units1': 169, 'act1': 'relu', 'units2': 308, 'act2': 'linear', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 200, 113, {'epochs': 95, 'units1': 225, 'act1': 'selu', 'units2': 86, 'act2': 'tanh', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, 99, {'epochs': 249, 'units1': 32, 'act1': 'linear', 'units2': 81, 'act2': 'tanh', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 22, -195, {'epochs': 175, 'units1': 17, 'act1': 'tanh', 'units2': 102, 'act2': 'selu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, 103, {'epochs': 89, 'units1': 224, 'act1': 'selu', 'units2': 81, 'act2': 'tanh', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 200, -574, {'epochs': 104, 'units1': 6, 'act1': 'linear', 'units2': 142, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 33, 'units1': 19, 'act1': 'tanh', 'units2': 102, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 20, -196, {'epochs': 97, 'units1': 3, 'act1': 'linear', 'units2': 134, 'act2': 'tanh', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 200, 116, {'epochs': 209, 'units1': 107, 'act1': 'elu', 'units2': 112, 'act2': 'linear', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 40, 'units1': 110, 'act1': 'elu', 'units2': 282, 'act2': 'elu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 9, -212, {'epochs': 236, 'units1': 63, 'act1': 'relu', 'units2': 88, 'act2': 'elu', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 24, -194, {'epochs': 71, 'units1': 169, 'act1': 'tanh', 'units2': 92, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 200, -519, {'epochs': 43, 'units1': 27, 'act1': 'tanh', 'units2': 102, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
4, 326, 1608, {'epochs': 9, 'units1': 161, 'act1': 'tanh', 'units2': 191, 'act2': 'elu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 9, -212, {'epochs': 83, 'units1': 237, 'act1': 'tanh', 'units2': 93, 'act2': 'selu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 28, -189, {'epochs': 47, 'units1': 161, 'act1': 'elu', 'units2': 166, 'act2': 'linear', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
4, 244, 1625, {'epochs': 32, 'units1': 129, 'act1': 'linear', 'units2': 50, 'act2': 'tanh', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 232, 'units1': 134, 'act1': 'linear', 'units2': 126, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 200, -574, {'epochs': 236, 'units1': 207, 'act1': 'elu', 'units2': 85, 'act2': 'linear', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 21, -194, {'epochs': 176, 'units1': 176, 'act1': 'linear', 'units2': 117, 'act2': 'elu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 200, -574, {'epochs': 38, 'units1': 259, 'act1': 'tanh', 'units2': 260, 'act2': 'elu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 18, -197, {'epochs': 207, 'units1': 182, 'act1': 'tanh', 'units2': 177, 'act2': 'relu', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 75, -173, {'epochs': 23, 'units1': 185, 'act1': 'linear', 'units2': 76, 'act2': 'elu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 21, -204, {'epochs': 283, 'units1': 74, 'act1': 'relu', 'units2': 139, 'act2': 'elu', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
