Generation: 9
1, 20, -211, {'epochs': 1, 'units1': 171, 'act1': 'elu', 'units2': 178, 'act2': 'tanh', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
2, 9, 302, {'epochs': 38, 'units1': 25, 'act1': 'linear', 'units2': 107, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 200, 87, {'epochs': 78, 'units1': 170, 'act1': 'linear', 'units2': 87, 'act2': 'tanh', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 38, -199, {'epochs': 262, 'units1': 225, 'act1': 'tanh', 'units2': 167, 'act2': 'linear', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 200, -514, {'epochs': 118, 'units1': 169, 'act1': 'relu', 'units2': 27, 'act2': 'elu', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 63, 'units1': 47, 'act1': 'tanh', 'units2': 90, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 9, -188, {'epochs': 95, 'units1': 238, 'act1': 'tanh', 'units2': 92, 'act2': 'selu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 19, -204, {'epochs': 216, 'units1': 105, 'act1': 'elu', 'units2': 120, 'act2': 'linear', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 200, -571, {'epochs': 113, 'units1': 27, 'act1': 'tanh', 'units2': 144, 'act2': 'linear', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 21, -207, {'epochs': 230, 'units1': 44, 'act1': 'tanh', 'units2': 143, 'act2': 'selu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
