Generation: 28
2, 13, 306, {'epochs': 124, 'units1': 36, 'act1': 'selu', 'units2': 98, 'act2': 'selu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
4, 37, 1319, {'epochs': 238, 'units1': 248, 'act1': 'tanh', 'units2': 169, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
5, 82, 1880, {'epochs': 271, 'units1': 223, 'act1': 'tanh', 'units2': 225, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 200, -66904, {'epochs': 202, 'units1': 60, 'act1': 'tanh', 'units2': 252, 'act2': 'linear', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 200, 122, {'epochs': 229, 'units1': 221, 'act1': 'elu', 'units2': 70, 'act2': 'tanh', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 21, -200, {'epochs': 108, 'units1': 24, 'act1': 'linear', 'units2': 164, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
5, 88, 1885, {'epochs': 145, 'units1': 54, 'act1': 'selu', 'units2': 199, 'act2': 'selu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 12, -1188, {'epochs': 254, 'units1': 255, 'act1': 'elu', 'units2': 124, 'act2': 'selu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
6, 68, 1368, {'epochs': 29, 'units1': 242, 'act1': 'linear', 'units2': 127, 'act2': 'linear', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 205, 'units1': 50, 'act1': 'tanh', 'units2': 249, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 200, 107, {'epochs': 197, 'units1': 63, 'act1': 'tanh', 'units2': 253, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, -41907, {'epochs': 237, 'units1': 242, 'act1': 'selu', 'units2': 127, 'act2': 'elu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
5, 315, -239, {'epochs': 180, 'units1': 184, 'act1': 'selu', 'units2': 87, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 27, -203, {'epochs': 146, 'units1': 179, 'act1': 'tanh', 'units2': 123, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
3, 20, 821, {'epochs': 59, 'units1': 35, 'act1': 'linear', 'units2': 107, 'act2': 'elu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 9, -212, {'epochs': 69, 'units1': 153, 'act1': 'tanh', 'units2': 25, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 81, 'units1': 9, 'act1': 'elu', 'units2': 150, 'act2': 'elu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, -66904, {'epochs': 133, 'units1': 94, 'act1': 'elu', 'units2': 204, 'act2': 'tanh', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 200, 116, {'epochs': 127, 'units1': 37, 'act1': 'selu', 'units2': 99, 'act2': 'selu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 200, -64895, {'epochs': 230, 'units1': 145, 'act1': 'linear', 'units2': 58, 'act2': 'linear', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
