Generation: 34
1, 200, -59931, {'epochs': 89, 'units1': 12, 'act1': 'elu', 'units2': 149, 'act2': 'elu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 38, -158, {'epochs': 21, 'units1': 249, 'act1': 'elu', 'units2': 153, 'act2': 'tanh', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
2, 14, 305, {'epochs': 101, 'units1': 29, 'act1': 'linear', 'units2': 166, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 10, -213, {'epochs': 129, 'units1': 121, 'act1': 'tanh', 'units2': 198, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, -66904, {'epochs': 214, 'units1': 60, 'act1': 'selu', 'units2': 184, 'act2': 'selu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 200, 122, {'epochs': 28, 'units1': 36, 'act1': 'linear', 'units2': 146, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 181, 'units1': 189, 'act1': 'elu', 'units2': 86, 'act2': 'selu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 20, -193, {'epochs': 94, 'units1': 15, 'act1': 'elu', 'units2': 156, 'act2': 'elu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -188, {'epochs': 114, 'units1': 38, 'act1': 'selu', 'units2': 109, 'act2': 'selu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
2, 21, 307, {'epochs': 121, 'units1': 44, 'act1': 'selu', 'units2': 101, 'act2': 'selu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 200, 113, {'epochs': 233, 'units1': 223, 'act1': 'elu', 'units2': 68, 'act2': 'tanh', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
4, 240, -65376, {'epochs': 194, 'units1': 227, 'act1': 'elu', 'units2': 91, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
2, 207, -66140, {'epochs': 242, 'units1': 4, 'act1': 'tanh', 'units2': 249, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 19, -204, {'epochs': 234, 'units1': 156, 'act1': 'linear', 'units2': 60, 'act2': 'linear', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 178, 'units1': 132, 'act1': 'tanh', 'units2': 217, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 10, -213, {'epochs': 114, 'units1': 38, 'act1': 'selu', 'units2': 109, 'act2': 'selu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 84, -170, {'epochs': 33, 'units1': 217, 'act1': 'linear', 'units2': 166, 'act2': 'linear', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
