Generation: 18
1, 9, -212, {'epochs': 186, 'units1': 39, 'act1': 'elu', 'units2': 166, 'act2': 'selu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 200, 116, {'epochs': 241, 'units1': 188, 'act1': 'tanh', 'units2': 229, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -200, {'epochs': 182, 'units1': 269, 'act1': 'elu', 'units2': 193, 'act2': 'selu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
4, 240, 1618, {'epochs': 186, 'units1': 39, 'act1': 'selu', 'units2': 166, 'act2': 'elu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 179, 'units1': 37, 'act1': 'elu', 'units2': 162, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 17, -196, {'epochs': 181, 'units1': 112, 'act1': 'elu', 'units2': 196, 'act2': 'selu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 200, -66904, {'epochs': 182, 'units1': 112, 'act1': 'selu', 'units2': 192, 'act2': 'elu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 179, 'units1': 37, 'act1': 'selu', 'units2': 162, 'act2': 'elu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 200, 116, {'epochs': 187, 'units1': 43, 'act1': 'selu', 'units2': 170, 'act2': 'elu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 9, -200, {'epochs': 240, 'units1': 182, 'act1': 'tanh', 'units2': 236, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 18, -197, {'epochs': 180, 'units1': 45, 'act1': 'selu', 'units2': 166, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 17, -196, {'epochs': 187, 'units1': 43, 'act1': 'selu', 'units2': 170, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 200, -66654, {'epochs': 187, 'units1': 43, 'act1': 'elu', 'units2': 170, 'act2': 'selu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
4, 57, 340, {'epochs': 240, 'units1': 182, 'act1': 'tanh', 'units2': 236, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 200, 113, {'epochs': 180, 'units1': 45, 'act1': 'selu', 'units2': 166, 'act2': 'elu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 18, -194, {'epochs': 187, 'units1': 43, 'act1': 'selu', 'units2': 170, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 200, -39910, {'epochs': 186, 'units1': 39, 'act1': 'selu', 'units2': 166, 'act2': 'elu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, 104, {'epochs': 185, 'units1': 116, 'act1': 'elu', 'units2': 197, 'act2': 'selu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 197, 'units1': 128, 'act1': 'selu', 'units2': 20, 'act2': 'elu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 18, -194, {'epochs': 187, 'units1': 43, 'act1': 'elu', 'units2': 170, 'act2': 'selu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 18, -197, {'epochs': 180, 'units1': 125, 'act1': 'elu', 'units2': 198, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 29, -190, {'epochs': 241, 'units1': 188, 'act1': 'tanh', 'units2': 229, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, 102, {'epochs': 186, 'units1': 39, 'act1': 'elu', 'units2': 166, 'act2': 'selu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 182, 'units1': 112, 'act1': 'selu', 'units2': 192, 'act2': 'elu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 80, -172, {'epochs': 181, 'units1': 112, 'act1': 'elu', 'units2': 196, 'act2': 'selu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 9, -180, {'epochs': 177, 'units1': 44, 'act1': 'elu', 'units2': 165, 'act2': 'selu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 18, -200, {'epochs': 35, 'units1': 21, 'act1': 'selu', 'units2': 226, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 200, 96, {'epochs': 240, 'units1': 182, 'act1': 'tanh', 'units2': 236, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 9, -206, {'epochs': 186, 'units1': 39, 'act1': 'selu', 'units2': 166, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 200, 116, {'epochs': 188, 'units1': 46, 'act1': 'selu', 'units2': 171, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 21, -194, {'epochs': 187, 'units1': 123, 'act1': 'selu', 'units2': 202, 'act2': 'elu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
2, 39, 348, {'epochs': 177, 'units1': 44, 'act1': 'selu', 'units2': 165, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 200, -66901, {'epochs': 43, 'units1': 27, 'act1': 'selu', 'units2': 234, 'act2': 'elu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, -59919, {'epochs': 248, 'units1': 190, 'act1': 'tanh', 'units2': 233, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 16, -1172, {'epochs': 252, 'units1': 497, 'act1': 'selu', 'units2': 158, 'act2': 'elu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 10, -186, {'epochs': 182, 'units1': 112, 'act1': 'selu', 'units2': 192, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 19, -195, {'epochs': 188, 'units1': 126, 'act1': 'elu', 'units2': 203, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 200, -63644, {'epochs': 409, 'units1': 318, 'act1': 'selu', 'units2': 265, 'act2': 'elu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 200, 84, {'epochs': 139, 'units1': 203, 'act1': 'selu', 'units2': 90, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 13, -204, {'epochs': 107, 'units1': 91, 'act1': 'tanh', 'units2': 250, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 200, -38890, {'epochs': 189, 'units1': 44, 'act1': 'selu', 'units2': 161, 'act2': 'elu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 9, -194, {'epochs': 186, 'units1': 119, 'act1': 'selu', 'units2': 198, 'act2': 'elu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 10, -213, {'epochs': 181, 'units1': 32, 'act1': 'elu', 'units2': 164, 'act2': 'selu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
2, 22, 296, {'epochs': 179, 'units1': 37, 'act1': 'elu', 'units2': 162, 'act2': 'selu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 11, -184, {'epochs': 187, 'units1': 43, 'act1': 'elu', 'units2': 170, 'act2': 'selu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 200, 105, {'epochs': 187, 'units1': 43, 'act1': 'selu', 'units2': 170, 'act2': 'elu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 19, -222, {'epochs': 179, 'units1': 37, 'act1': 'selu', 'units2': 162, 'act2': 'elu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
3, 76, 799, {'epochs': 379, 'units1': 370, 'act1': 'selu', 'units2': 243, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 200, -66901, {'epochs': 187, 'units1': 123, 'act1': 'elu', 'units2': 202, 'act2': 'selu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 9, -212, {'epochs': 201, 'units1': 132, 'act1': 'selu', 'units2': 21, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 200, -62916, {'epochs': 203, 'units1': 139, 'act1': 'selu', 'units2': 26, 'act2': 'elu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 200, -66646, {'epochs': 200, 'units1': 142, 'act1': 'selu', 'units2': 25, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 200, 104, {'epochs': 75, 'units1': 251, 'act1': 'selu', 'units2': 58, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 9, -209, {'epochs': 186, 'units1': 44, 'act1': 'selu', 'units2': 163, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 21, -197, {'epochs': 43, 'units1': 27, 'act1': 'selu', 'units2': 234, 'act2': 'elu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 19, -195, {'epochs': 117, 'units1': 48, 'act1': 'selu', 'units2': 164, 'act2': 'elu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, -66901, {'epochs': 179, 'units1': 117, 'act1': 'selu', 'units2': 194, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 11, -1187, {'epochs': 252, 'units1': 190, 'act1': 'tanh', 'units2': 235, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
3, 222, -61629, {'epochs': 185, 'units1': 116, 'act1': 'selu', 'units2': 197, 'act2': 'elu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, -896, {'epochs': 245, 'units1': 176, 'act1': 'tanh', 'units2': 228, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 200, 104, {'epochs': 187, 'units1': 123, 'act1': 'elu', 'units2': 202, 'act2': 'selu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 19, 'units1': 229, 'act1': 'selu', 'units2': 82, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 200, 136, {'epochs': 176, 'units1': 33, 'act1': 'selu', 'units2': 170, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 200, -66904, {'epochs': 417, 'units1': 238, 'act1': 'elu', 'units2': 230, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 21, -194, {'epochs': 179, 'units1': 37, 'act1': 'elu', 'units2': 162, 'act2': 'selu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 19, -210, {'epochs': 186, 'units1': 39, 'act1': 'selu', 'units2': 166, 'act2': 'elu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 9, -191, {'epochs': 187, 'units1': 43, 'act1': 'selu', 'units2': 170, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 21, -194, {'epochs': 180, 'units1': 45, 'act1': 'selu', 'units2': 166, 'act2': 'elu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 9, -188, {'epochs': 251, 'units1': 187, 'act1': 'tanh', 'units2': 234, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 200, 113, {'epochs': 185, 'units1': 36, 'act1': 'elu', 'units2': 165, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 200, 113, {'epochs': 202, 'units1': 135, 'act1': 'selu', 'units2': 22, 'act2': 'elu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 200, -66904, {'epochs': 178, 'units1': 34, 'act1': 'elu', 'units2': 174, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 200, -898, {'epochs': 132, 'units1': 205, 'act1': 'selu', 'units2': 86, 'act2': 'elu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 20, -196, {'epochs': 179, 'units1': 37, 'act1': 'elu', 'units2': 162, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 200, 110, {'epochs': 180, 'units1': 45, 'act1': 'selu', 'units2': 166, 'act2': 'elu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 19, -195, {'epochs': 179, 'units1': 37, 'act1': 'selu', 'units2': 162, 'act2': 'elu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 9, -212, {'epochs': 187, 'units1': 43, 'act1': 'elu', 'units2': 170, 'act2': 'selu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
3, 255, 1101, {'epochs': 187, 'units1': 43, 'act1': 'elu', 'units2': 170, 'act2': 'selu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 200, -63898, {'epochs': 193, 'units1': 236, 'act1': 'elu', 'units2': 353, 'act2': 'selu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, -59907, {'epochs': 187, 'units1': 43, 'act1': 'elu', 'units2': 170, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 200, -59907, {'epochs': 186, 'units1': 44, 'act1': 'elu', 'units2': 163, 'act2': 'selu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
