Generation: 2
1, 200, -65648, {'epochs': 112, 'units1': 176, 'act1': 'elu', 'units2': 51, 'act2': 'tanh', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
4, 270, -65385, {'epochs': 89, 'units1': 211, 'act1': 'relu', 'units2': 204, 'act2': 'tanh', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 200, -63901, {'epochs': 114, 'units1': 220, 'act1': 'linear', 'units2': 78, 'act2': 'relu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 200, -64901, {'epochs': 28, 'units1': 61, 'act1': 'linear', 'units2': 34, 'act2': 'elu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 200, -67904, {'epochs': 204, 'units1': 141, 'act1': 'selu', 'units2': 162, 'act2': 'sigmoid', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 9, -200, {'epochs': 343, 'units1': 243, 'act1': 'linear', 'units2': 289, 'act2': 'relu', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
20, 260, 9549, {'epochs': 45, 'units1': 251, 'act1': 'elu', 'units2': 243, 'act2': 'linear', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, -64895, {'epochs': 182, 'units1': 165, 'act1': 'selu', 'units2': 176, 'act2': 'relu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
10, 144, 4440, {'epochs': 107, 'units1': 28, 'act1': 'linear', 'units2': 148, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 200, -66901, {'epochs': 126, 'units1': 277, 'act1': 'relu', 'units2': 130, 'act2': 'tanh', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, -63892, {'epochs': 157, 'units1': 187, 'act1': 'elu', 'units2': 227, 'act2': 'tanh', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 200, -62889, {'epochs': 177, 'units1': 167, 'act1': 'selu', 'units2': 188, 'act2': 'relu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
9, 114, 3904, {'epochs': 143, 'units1': 167, 'act1': 'selu', 'units2': 123, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
6, 287, 2696, {'epochs': 124, 'units1': 46, 'act1': 'linear', 'units2': 232, 'act2': 'selu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
3, 212, -898, {'epochs': 201, 'units1': 99, 'act1': 'selu', 'units2': 118, 'act2': 'elu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, -66901, {'epochs': 28, 'units1': 7, 'act1': 'sigmoid', 'units2': 68, 'act2': 'softmax', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 200, -66901, {'epochs': 46, 'units1': 501, 'act1': 'sigmoid', 'units2': 256, 'act2': 'sigmoid', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
2, 19, 308, {'epochs': 170, 'units1': 100, 'act1': 'relu', 'units2': 61, 'act2': 'elu', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 200, -65901, {'epochs': 141, 'units1': 166, 'act1': 'selu', 'units2': 122, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 200, -66901, {'epochs': 252, 'units1': 62, 'act1': 'tanh', 'units2': 104, 'act2': 'sigmoid', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 200, -66904, {'epochs': 12, 'units1': 220, 'act1': 'sigmoid', 'units2': 207, 'act2': 'tanh', 'act3': 'sigmoid', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, -63649, {'epochs': 12, 'units1': 188, 'act1': 'elu', 'units2': 21, 'act2': 'linear', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
3, 313, 99, {'epochs': 187, 'units1': 168, 'act1': 'selu', 'units2': 181, 'act2': 'relu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, -66901, {'epochs': 109, 'units1': 171, 'act1': 'selu', 'units2': 51, 'act2': 'softmax', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
2, 38, 303, {'epochs': 143, 'units1': 167, 'act1': 'selu', 'units2': 123, 'act2': 'elu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
4, 64, 1327, {'epochs': 124, 'units1': 46, 'act1': 'linear', 'units2': 232, 'act2': 'selu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 225, 'units1': 51, 'act1': 'linear', 'units2': 201, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 99, 'units1': 28, 'act1': 'linear', 'units2': 144, 'act2': 'linear', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 200, -66904, {'epochs': 145, 'units1': 103, 'act1': 'sigmoid', 'units2': 44, 'act2': 'selu', 'act3': 'sigmoid', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 21, -191, {'epochs': 246, 'units1': 429, 'act1': 'elu', 'units2': 260, 'act2': 'tanh', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 188, 'units1': 12, 'act1': 'selu', 'units2': 213, 'act2': 'sigmoid', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 200, -66901, {'epochs': 15, 'units1': 218, 'act1': 'sigmoid', 'units2': 204, 'act2': 'tanh', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
