Generation: 1
1, 14, -16.5, {'epochs': 67, 'units1': 57, 'act1': 'selu', 'units2': 69, 'act2': 'linear', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 200, -51.5, {'epochs': 61, 'units1': 37, 'act1': 'selu', 'units2': 64, 'act2': 'linear', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 200, -52.5, {'epochs': 34, 'units1': 36, 'act1': 'selu', 'units2': 49, 'act2': 'linear', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 17, -13.0, {'epochs': 13, 'units1': 16, 'act1': 'linear', 'units2': 30, 'act2': 'selu', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 33, 20.5, {'epochs': 13, 'units1': 16, 'act1': 'linear', 'units2': 30, 'act2': 'selu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 9, -3.5, {'epochs': 37, 'units1': 33, 'act1': 'linear', 'units2': 44, 'act2': 'selu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 200, -62.5, {'epochs': 37, 'units1': 79, 'act1': 'linear', 'units2': 102, 'act2': 'selu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 10, -14.0, {'epochs': 102, 'units1': 98, 'act1': 'selu', 'units2': 49, 'act2': 'linear', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 9, -4.5, {'epochs': 13, 'units1': 13, 'act1': 'linear', 'units2': 22, 'act2': 'selu', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
2, 14, 97.0, {'epochs': 37, 'units1': 33, 'act1': 'linear', 'units2': 44, 'act2': 'selu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 14, -3.0, {'epochs': 25, 'units1': 25, 'act1': 'linear', 'units2': 37, 'act2': 'selu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 200, -50.5, {'epochs': 10, 'units1': 11, 'act1': 'linear', 'units2': 23, 'act2': 'selu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 19, 4.5, {'epochs': 6, 'units1': 6, 'act1': 'linear', 'units2': 16, 'act2': 'selu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
2, 287, 46.5, {'epochs': 120, 'units1': 88, 'act1': 'selu', 'units2': 67, 'act2': 'linear', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 200, -38.0, {'epochs': 44, 'units1': 40, 'act1': 'linear', 'units2': 50, 'act2': 'selu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 14, -18.5, {'epochs': 13, 'units1': 13, 'act1': 'linear', 'units2': 22, 'act2': 'selu', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
