Generation: 14
1, 200, -66901, {'epochs': 186, 'units1': 44, 'act1': 'elu', 'units2': 163, 'act2': 'selu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 251, 'units1': 187, 'act1': 'tanh', 'units2': 234, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 211, 'units1': 165, 'act1': 'selu', 'units2': 146, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 200, -63892, {'epochs': 14, 'units1': 188, 'act1': 'tanh', 'units2': 50, 'act2': 'selu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 200, 123, {'epochs': 422, 'units1': 207, 'act1': 'selu', 'units2': 421, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 33, -186, {'epochs': 205, 'units1': 138, 'act1': 'selu', 'units2': 24, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
2, 17, 312, {'epochs': 189, 'units1': 43, 'act1': 'selu', 'units2': 166, 'act2': 'elu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 201, 'units1': 141, 'act1': 'selu', 'units2': 16, 'act2': 'elu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, 102, {'epochs': 191, 'units1': 45, 'act1': 'elu', 'units2': 161, 'act2': 'selu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 21, -168, {'epochs': 187, 'units1': 36, 'act1': 'elu', 'units2': 175, 'act2': 'selu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 10, -213, {'epochs': 237, 'units1': 145, 'act1': 'elu', 'units2': 238, 'act2': 'selu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 9, -212, {'epochs': 186, 'units1': 44, 'act1': 'selu', 'units2': 163, 'act2': 'elu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 10, -213, {'epochs': 186, 'units1': 44, 'act1': 'selu', 'units2': 163, 'act2': 'elu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 200, -63889, {'epochs': 188, 'units1': 46, 'act1': 'elu', 'units2': 171, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 19, -195, {'epochs': 179, 'units1': 117, 'act1': 'elu', 'units2': 194, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
6, 37, 2344, {'epochs': 185, 'units1': 36, 'act1': 'elu', 'units2': 165, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 212, 'units1': 173, 'act1': 'selu', 'units2': 150, 'act2': 'elu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 219, 'units1': 171, 'act1': 'elu', 'units2': 154, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 200, -66904, {'epochs': 54, 'units1': 132, 'act1': 'selu', 'units2': 23, 'act2': 'elu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 255, 'units1': 184, 'act1': 'tanh', 'units2': 237, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 200, 110, {'epochs': 205, 'units1': 138, 'act1': 'elu', 'units2': 24, 'act2': 'selu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
2, 207, -66395, {'epochs': 205, 'units1': 138, 'act1': 'selu', 'units2': 24, 'act2': 'elu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, 104, {'epochs': 255, 'units1': 189, 'act1': 'tanh', 'units2': 225, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 203, 'units1': 132, 'act1': 'selu', 'units2': 31, 'act2': 'elu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 9, -185, {'epochs': 205, 'units1': 139, 'act1': 'elu', 'units2': 22, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 200, 110, {'epochs': 253, 'units1': 186, 'act1': 'tanh', 'units2': 232, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
4, 235, 1647, {'epochs': 186, 'units1': 39, 'act1': 'selu', 'units2': 166, 'act2': 'elu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
