Generation: 1
1, 9, -210.0, {'epochs': 6, 'units1': 3, 'act1': 'elu', 'units2': 29, 'act2': 'softmax', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 200, -50.5, {'epochs': 7, 'units1': 4, 'act1': 'tanh', 'units2': 10, 'act2': 'linear', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 200, -53.0, {'epochs': 14, 'units1': 44, 'act1': 'elu', 'units2': 14, 'act2': 'selu', 'act3': 'softmax', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 9, -215.0, {'epochs': 14, 'units1': 40, 'act1': 'selu', 'units2': 48, 'act2': 'tanh', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 24, -210.0, {'epochs': 6, 'units1': 25, 'act1': 'linear', 'units2': 29, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 200, -53.0, {'epochs': 4, 'units1': 14, 'act1': 'elu', 'units2': 45, 'act2': 'sigmoid', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 200, -50.5, {'epochs': 2, 'units1': 7, 'act1': 'sigmoid', 'units2': 43, 'act2': 'relu', 'act3': 'softmax', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 9, -215.0, {'epochs': 12, 'units1': 2, 'act1': 'elu', 'units2': 15, 'act2': 'relu', 'act3': 'sigmoid', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 200, -50.5, {'epochs': 1, 'units1': 16, 'act1': 'softmax', 'units2': 44, 'act2': 'sigmoid', 'act3': 'softmax', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 9, -197.5, {'epochs': 3, 'units1': 13, 'act1': 'elu', 'units2': 19, 'act2': 'elu', 'act3': 'softmax', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 200, -48.0, {'epochs': 9, 'units1': 16, 'act1': 'linear', 'units2': 39, 'act2': 'linear', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 200, -45.5, {'epochs': 5, 'units1': 25, 'act1': 'linear', 'units2': 38, 'act2': 'elu', 'act3': 'softmax', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
5, 76, 247.0, {'epochs': 14, 'units1': 34, 'act1': 'elu', 'units2': 40, 'act2': 'selu', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, -48.0, {'epochs': 6, 'units1': 9, 'act1': 'relu', 'units2': 22, 'act2': 'linear', 'act3': 'softmax', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 200, -48.0, {'epochs': 7, 'units1': 47, 'act1': 'elu', 'units2': 17, 'act2': 'elu', 'act3': 'softmax', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 19, -210.0, {'epochs': 8, 'units1': 23, 'act1': 'selu', 'units2': 32, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 18, -208.5, {'epochs': 5, 'units1': 27, 'act1': 'relu', 'units2': 39, 'act2': 'tanh', 'act3': 'softmax', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
2, 18, -83.5, {'epochs': 6, 'units1': 23, 'act1': 'tanh', 'units2': 31, 'act2': 'selu', 'act3': 'softmax', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 9, -215.0, {'epochs': 12, 'units1': 13, 'act1': 'selu', 'units2': 3, 'act2': 'softmax', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 9, -205.0, {'epochs': 9, 'units1': 12, 'act1': 'selu', 'units2': 15, 'act2': 'tanh', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 9, -215.0, {'epochs': 10, 'units1': 24, 'act1': 'relu', 'units2': 40, 'act2': 'softmax', 'act3': 'softmax', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, -53.0, {'epochs': 13, 'units1': 31, 'act1': 'sigmoid', 'units2': 13, 'act2': 'softmax', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 9, -215.0, {'epochs': 8, 'units1': 35, 'act1': 'selu', 'units2': 10, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 200, -43.0, {'epochs': 11, 'units1': 49, 'act1': 'elu', 'units2': 43, 'act2': 'tanh', 'act3': 'softmax', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 200, -50.5, {'epochs': 14, 'units1': 21, 'act1': 'selu', 'units2': 37, 'act2': 'sigmoid', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 9, -215.0, {'epochs': 1, 'units1': 14, 'act1': 'sigmoid', 'units2': 30, 'act2': 'linear', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 200, -53.0, {'epochs': 12, 'units1': 40, 'act1': 'softmax', 'units2': 7, 'act2': 'sigmoid', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 200, -40.5, {'epochs': 12, 'units1': 21, 'act1': 'linear', 'units2': 41, 'act2': 'linear', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 17, -189.5, {'epochs': 10, 'units1': 21, 'act1': 'tanh', 'units2': 34, 'act2': 'linear', 'act3': 'sigmoid', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 22, -184.5, {'epochs': 6, 'units1': 26, 'act1': 'elu', 'units2': 24, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 200, -50.5, {'epochs': 10, 'units1': 28, 'act1': 'tanh', 'units2': 39, 'act2': 'sigmoid', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 27, -209.5, {'epochs': 3, 'units1': 48, 'act1': 'elu', 'units2': 40, 'act2': 'sigmoid', 'act3': 'softmax', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 9, -215.0, {'epochs': 6, 'units1': 45, 'act1': 'elu', 'units2': 42, 'act2': 'softmax', 'act3': 'sigmoid', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 200, -45.5, {'epochs': 4, 'units1': 10, 'act1': 'relu', 'units2': 29, 'act2': 'relu', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 18, -211.0, {'epochs': 14, 'units1': 24, 'act1': 'relu', 'units2': 37, 'act2': 'tanh', 'act3': 'softmax', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 15, -189.0, {'epochs': 7, 'units1': 46, 'act1': 'elu', 'units2': 49, 'act2': 'elu', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 9, -195.0, {'epochs': 10, 'units1': 5, 'act1': 'softmax', 'units2': 16, 'act2': 'elu', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 200, -50.5, {'epochs': 10, 'units1': 8, 'act1': 'sigmoid', 'units2': 8, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 200, -53.0, {'epochs': 2, 'units1': 27, 'act1': 'relu', 'units2': 34, 'act2': 'softmax', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, -43.0, {'epochs': 12, 'units1': 38, 'act1': 'linear', 'units2': 2, 'act2': 'linear', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 9, -215.0, {'epochs': 7, 'units1': 46, 'act1': 'elu', 'units2': 20, 'act2': 'sigmoid', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, -53.0, {'epochs': 11, 'units1': 36, 'act1': 'tanh', 'units2': 21, 'act2': 'sigmoid', 'act3': 'sigmoid', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, -40.5, {'epochs': 13, 'units1': 33, 'act1': 'elu', 'units2': 21, 'act2': 'selu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 200, -53.0, {'epochs': 8, 'units1': 39, 'act1': 'selu', 'units2': 34, 'act2': 'sigmoid', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 200, -40.5, {'epochs': 6, 'units1': 35, 'act1': 'tanh', 'units2': 28, 'act2': 'tanh', 'act3': 'softmax', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, -50.5, {'epochs': 2, 'units1': 5, 'act1': 'tanh', 'units2': 18, 'act2': 'softmax', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 200, -40.5, {'epochs': 10, 'units1': 4, 'act1': 'relu', 'units2': 24, 'act2': 'relu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 21, -210.5, {'epochs': 12, 'units1': 49, 'act1': 'selu', 'units2': 28, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 200, -50.5, {'epochs': 11, 'units1': 4, 'act1': 'linear', 'units2': 38, 'act2': 'sigmoid', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 200, -50.5, {'epochs': 3, 'units1': 15, 'act1': 'sigmoid', 'units2': 16, 'act2': 'sigmoid', 'act3': 'sigmoid', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 200, -50.5, {'epochs': 2, 'units1': 48, 'act1': 'sigmoid', 'units2': 2, 'act2': 'elu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 29, -200.0, {'epochs': 9, 'units1': 34, 'act1': 'linear', 'units2': 37, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
