Generation: 1
1, 18, -209, {'epochs': 118, 'units1': 211, 'act1': 'linear', 'units2': 210, 'act2': 'linear', 'act3': 'sigmoid', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
4, 228, -63382, {'epochs': 218, 'units1': 67, 'act1': 'selu', 'units2': 184, 'act2': 'relu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 9, 'units1': 161, 'act1': 'sigmoid', 'units2': 252, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 174, 'units1': 44, 'act1': 'tanh', 'units2': 240, 'act2': 'selu', 'act3': 'softmax', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 10, -213, {'epochs': 57, 'units1': 108, 'act1': 'relu', 'units2': 19, 'act2': 'softmax', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 18, -194, {'epochs': 211, 'units1': 103, 'act1': 'tanh', 'units2': 214, 'act2': 'selu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 65, 'units1': 173, 'act1': 'elu', 'units2': 243, 'act2': 'tanh', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 11, -211, {'epochs': 4, 'units1': 72, 'act1': 'tanh', 'units2': 209, 'act2': 'selu', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 9, -212, {'epochs': 61, 'units1': 37, 'act1': 'linear', 'units2': 70, 'act2': 'tanh', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, -66904, {'epochs': 10, 'units1': 133, 'act1': 'softmax', 'units2': 211, 'act2': 'elu', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 200, 110, {'epochs': 114, 'units1': 251, 'act1': 'elu', 'units2': 71, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 9, -212, {'epochs': 102, 'units1': 180, 'act1': 'selu', 'units2': 248, 'act2': 'softmax', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, -66904, {'epochs': 81, 'units1': 73, 'act1': 'softmax', 'units2': 31, 'act2': 'selu', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, -66904, {'epochs': 80, 'units1': 225, 'act1': 'elu', 'units2': 2, 'act2': 'sigmoid', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
