Generation: 1
1, 18, -206.0, {'epochs': 4, 'units1': 22, 'act1': 'tanh', 'units2': 12, 'act2': 'softmax', 'act3': 'softmax', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
4, 63, 134.0, {'epochs': 2, 'units1': 16, 'act1': 'linear', 'units2': 25, 'act2': 'linear', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 10, -216.5, {'epochs': 6, 'units1': 13, 'act1': 'relu', 'units2': 6, 'act2': 'tanh', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 9, -202.5, {'epochs': 8, 'units1': 38, 'act1': 'softmax', 'units2': 34, 'act2': 'elu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 11, -215.5, {'epochs': 9, 'units1': 23, 'act1': 'relu', 'units2': 18, 'act2': 'linear', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, -53.0, {'epochs': 14, 'units1': 2, 'act1': 'tanh', 'units2': 14, 'act2': 'softmax', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 200, -50.5, {'epochs': 3, 'units1': 29, 'act1': 'sigmoid', 'units2': 14, 'act2': 'tanh', 'act3': 'sigmoid', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 18, -208.5, {'epochs': 8, 'units1': 11, 'act1': 'tanh', 'units2': 25, 'act2': 'selu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 9, -215.0, {'epochs': 7, 'units1': 8, 'act1': 'relu', 'units2': 44, 'act2': 'selu', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 200, -40.5, {'epochs': 10, 'units1': 36, 'act1': 'selu', 'units2': 47, 'act2': 'tanh', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
Generation: 2
1, 24, -210.0, {'epochs': 3, 'units1': 42, 'act1': 'linear', 'units2': 45, 'act2': 'linear', 'act3': 'softmax', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 9, -215.0, {'epochs': 2, 'units1': 16, 'act1': 'linear', 'units2': 25, 'act2': 'linear', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 200, -40.5, {'epochs': 12, 'units1': 11, 'act1': 'relu', 'units2': 33, 'act2': 'relu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, -63.0, {'epochs': 2, 'units1': 6, 'act1': 'linear', 'units2': 23, 'act2': 'relu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 200, -40.5, {'epochs': 4, 'units1': 14, 'act1': 'elu', 'units2': 15, 'act2': 'tanh', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
