Generation: 1
1, 200, 585, {'epochs': 245, 'units1': 125, 'act1': 'tanh', 'units2': 233, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 200, 99, {'epochs': 89, 'units1': 106, 'act1': 'sigmoid', 'units2': 76, 'act2': 'elu', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
3, 25, 806, {'epochs': 150, 'units1': 196, 'act1': 'selu', 'units2': 102, 'act2': 'selu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 9, -212, {'epochs': 214, 'units1': 187, 'act1': 'linear', 'units2': 21, 'act2': 'elu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 17, -196, {'epochs': 158, 'units1': 55, 'act1': 'linear', 'units2': 30, 'act2': 'tanh', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 200, 99, {'epochs': 77, 'units1': 11, 'act1': 'elu', 'units2': 200, 'act2': 'linear', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 200, 350, {'epochs': 154, 'units1': 207, 'act1': 'tanh', 'units2': 83, 'act2': 'elu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 52, 'units1': 163, 'act1': 'linear', 'units2': 209, 'act2': 'sigmoid', 'act3': 'softmax', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, 597, {'epochs': 68, 'units1': 143, 'act1': 'selu', 'units2': 83, 'act2': 'elu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 116, 'units1': 177, 'act1': 'elu', 'units2': 19, 'act2': 'linear', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 169, 'units1': 138, 'act1': 'selu', 'units2': 168, 'act2': 'linear', 'act3': 'softmax', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, 108, {'epochs': 253, 'units1': 4, 'act1': 'elu', 'units2': 250, 'act2': 'linear', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 9, -197, {'epochs': 42, 'units1': 139, 'act1': 'elu', 'units2': 52, 'act2': 'softmax', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 19, -216, {'epochs': 139, 'units1': 57, 'act1': 'elu', 'units2': 10, 'act2': 'tanh', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, 96, {'epochs': 92, 'units1': 136, 'act1': 'selu', 'units2': 43, 'act2': 'sigmoid', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, 99, {'epochs': 169, 'units1': 252, 'act1': 'relu', 'units2': 139, 'act2': 'sigmoid', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, 99, {'epochs': 15, 'units1': 68, 'act1': 'sigmoid', 'units2': 78, 'act2': 'linear', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 200, 96, {'epochs': 73, 'units1': 7, 'act1': 'tanh', 'units2': 78, 'act2': 'sigmoid', 'act3': 'softmax', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, 96, {'epochs': 26, 'units1': 28, 'act1': 'sigmoid', 'units2': 19, 'act2': 'selu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, 96, {'epochs': 11, 'units1': 14, 'act1': 'softmax', 'units2': 220, 'act2': 'sigmoid', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 200, 99, {'epochs': 13, 'units1': 246, 'act1': 'linear', 'units2': 146, 'act2': 'sigmoid', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 200, 99, {'epochs': 217, 'units1': 220, 'act1': 'elu', 'units2': 45, 'act2': 'sigmoid', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
