Generation: 5
1, 200, 110, {'epochs': 198, 'units1': 169, 'act1': 'selu', 'units2': 219, 'act2': 'selu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -192, {'epochs': 170, 'units1': 276, 'act1': 'selu', 'units2': 110, 'act2': 'tanh', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 10, -210, {'epochs': 139, 'units1': 203, 'act1': 'linear', 'units2': 133, 'act2': 'linear', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 10, -213, {'epochs': 143, 'units1': 86, 'act1': 'selu', 'units2': 113, 'act2': 'selu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 200, 122, {'epochs': 107, 'units1': 11, 'act1': 'linear', 'units2': 133, 'act2': 'tanh', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 20, -167, {'epochs': 37, 'units1': 31, 'act1': 'tanh', 'units2': 99, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 9, -191, {'epochs': 195, 'units1': 157, 'act1': 'linear', 'units2': 157, 'act2': 'elu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 42, 'units1': 86, 'act1': 'tanh', 'units2': 53, 'act2': 'selu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 63, 'units1': 189, 'act1': 'elu', 'units2': 50, 'act2': 'tanh', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 109, 'units1': 176, 'act1': 'linear', 'units2': 186, 'act2': 'selu', 'act3': 'sigmoid', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 21, -194, {'epochs': 209, 'units1': 107, 'act1': 'elu', 'units2': 112, 'act2': 'linear', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 99, -157, {'epochs': 28, 'units1': 63, 'act1': 'tanh', 'units2': 53, 'act2': 'selu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 200, 78, {'epochs': 0, 'units1': 233, 'act1': 'tanh', 'units2': 84, 'act2': 'elu', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 200, 119, {'epochs': 71, 'units1': 169, 'act1': 'tanh', 'units2': 92, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 19, -195, {'epochs': 143, 'units1': 198, 'act1': 'linear', 'units2': 129, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 200, 106, {'epochs': 82, 'units1': 228, 'act1': 'tanh', 'units2': 81, 'act2': 'selu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 19, -195, {'epochs': 224, 'units1': 252, 'act1': 'elu', 'units2': 127, 'act2': 'tanh', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, 81, {'epochs': 87, 'units1': 233, 'act1': 'selu', 'units2': 92, 'act2': 'tanh', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 21, -216, {'epochs': 180, 'units1': 256, 'act1': 'elu', 'units2': 127, 'act2': 'tanh', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 21, -197, {'epochs': 76, 'units1': 175, 'act1': 'linear', 'units2': 88, 'act2': 'tanh', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 39, 'units1': 153, 'act1': 'linear', 'units2': 188, 'act2': 'selu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 21, -194, {'epochs': 40, 'units1': 110, 'act1': 'elu', 'units2': 282, 'act2': 'elu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 18, -197, {'epochs': 186, 'units1': 6, 'act1': 'elu', 'units2': 117, 'act2': 'tanh', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 10, -210, {'epochs': 27, 'units1': 59, 'act1': 'tanh', 'units2': 53, 'act2': 'selu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
2, 9, 294, {'epochs': 236, 'units1': 63, 'act1': 'relu', 'units2': 88, 'act2': 'elu', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
2, 276, 563, {'epochs': 127, 'units1': 170, 'act1': 'elu', 'units2': 18, 'act2': 'relu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, -574, {'epochs': 167, 'units1': 155, 'act1': 'relu', 'units2': 90, 'act2': 'linear', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 200, 113, {'epochs': 40, 'units1': 166, 'act1': 'elu', 'units2': 174, 'act2': 'linear', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 20, -208, {'epochs': 192, 'units1': 160, 'act1': 'selu', 'units2': 213, 'act2': 'selu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 18, -197, {'epochs': 43, 'units1': 171, 'act1': 'linear', 'units2': 165, 'act2': 'elu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 200, -574, {'epochs': 239, 'units1': 49, 'act1': 'relu', 'units2': 86, 'act2': 'elu', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 177, 'units1': 178, 'act1': 'elu', 'units2': 112, 'act2': 'linear', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 49, 'units1': 107, 'act1': 'relu', 'units2': 66, 'act2': 'linear', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 200, 107, {'epochs': 207, 'units1': 157, 'act1': 'linear', 'units2': 146, 'act2': 'elu', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 21, -218, {'epochs': 100, 'units1': 45, 'act1': 'tanh', 'units2': 244, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -188, {'epochs': 105, 'units1': 23, 'act1': 'relu', 'units2': 198, 'act2': 'selu', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
4, 245, 984, {'epochs': 86, 'units1': 244, 'act1': 'linear', 'units2': 219, 'act2': 'linear', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
8, 176, 3372, {'epochs': 143, 'units1': 193, 'act1': 'linear', 'units2': 134, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 18, -221, {'epochs': 59, 'units1': 187, 'act1': 'elu', 'units2': 53, 'act2': 'tanh', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 200, -574, {'epochs': 33, 'units1': 163, 'act1': 'linear', 'units2': 166, 'act2': 'elu', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 28, -195, {'epochs': 239, 'units1': 241, 'act1': 'elu', 'units2': 118, 'act2': 'tanh', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 200, 122, {'epochs': 249, 'units1': 32, 'act1': 'linear', 'units2': 81, 'act2': 'tanh', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 200, 122, {'epochs': 83, 'units1': 232, 'act1': 'tanh', 'units2': 95, 'act2': 'selu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 233, 'units1': 129, 'act1': 'linear', 'units2': 127, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 200, -538, {'epochs': 34, 'units1': 132, 'act1': 'tanh', 'units2': 49, 'act2': 'linear', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 200, 107, {'epochs': 89, 'units1': 241, 'act1': 'linear', 'units2': 223, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 27, -194, {'epochs': 38, 'units1': 139, 'act1': 'tanh', 'units2': 57, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 19, 'units1': 184, 'act1': 'linear', 'units2': 79, 'act2': 'elu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 9, -200, {'epochs': 247, 'units1': 35, 'act1': 'linear', 'units2': 93, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 200, -571, {'epochs': 209, 'units1': 67, 'act1': 'linear', 'units2': 54, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 10, -192, {'epochs': 43, 'units1': 27, 'act1': 'tanh', 'units2': 102, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 10, -195, {'epochs': 47, 'units1': 205, 'act1': 'elu', 'units2': 50, 'act2': 'linear', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 13, 'units1': 16, 'act1': 'tanh', 'units2': 234, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 200, -556, {'epochs': 146, 'units1': 3, 'act1': 'relu', 'units2': 178, 'act2': 'elu', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
