Generation: 2
1, 9, -212, {'epochs': 92, 'units1': 38, 'act1': 'sigmoid', 'units2': 215, 'act2': 'relu', 'act3': 'softmax', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 200, -66901, {'epochs': 9, 'units1': 78, 'act1': 'selu', 'units2': 179, 'act2': 'relu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 200, 93, {'epochs': 165, 'units1': 133, 'act1': 'softmax', 'units2': 155, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 21, -197, {'epochs': 101, 'units1': 60, 'act1': 'tanh', 'units2': 168, 'act2': 'elu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -188, {'epochs': 229, 'units1': 110, 'act1': 'relu', 'units2': 45, 'act2': 'sigmoid', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 9, -188, {'epochs': 40, 'units1': 39, 'act1': 'selu', 'units2': 80, 'act2': 'relu', 'act3': 'sigmoid', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 200, -66901, {'epochs': 115, 'units1': 130, 'act1': 'sigmoid', 'units2': 121, 'act2': 'selu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 200, -66901, {'epochs': 135, 'units1': 192, 'act1': 'selu', 'units2': 218, 'act2': 'softmax', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 20, -193, {'epochs': 164, 'units1': 246, 'act1': 'elu', 'units2': 28, 'act2': 'relu', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 75, 'units1': 156, 'act1': 'tanh', 'units2': 242, 'act2': 'elu', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, -66901, {'epochs': 180, 'units1': 64, 'act1': 'elu', 'units2': 155, 'act2': 'softmax', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 100, 'units1': 30, 'act1': 'selu', 'units2': 69, 'act2': 'elu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 200, -66904, {'epochs': 34, 'units1': 134, 'act1': 'sigmoid', 'units2': 166, 'act2': 'softmax', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
5, 309, 1114, {'epochs': 170, 'units1': 158, 'act1': 'elu', 'units2': 152, 'act2': 'elu', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 200, -66904, {'epochs': 105, 'units1': 62, 'act1': 'softmax', 'units2': 191, 'act2': 'relu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 19, -186, {'epochs': 64, 'units1': 117, 'act1': 'relu', 'units2': 142, 'act2': 'linear', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 107, 'units1': 1, 'act1': 'tanh', 'units2': 163, 'act2': 'linear', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, -66904, {'epochs': 12, 'units1': 74, 'act1': 'relu', 'units2': 190, 'act2': 'selu', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 200, -66904, {'epochs': 153, 'units1': 126, 'act1': 'elu', 'units2': 147, 'act2': 'softmax', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 9, -188, {'epochs': 166, 'units1': 253, 'act1': 'relu', 'units2': 22, 'act2': 'elu', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 132, 'units1': 54, 'act1': 'tanh', 'units2': 252, 'act2': 'sigmoid', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 20, -193, {'epochs': 232, 'units1': 189, 'act1': 'linear', 'units2': 13, 'act2': 'relu', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 200, 113, {'epochs': 248, 'units1': 220, 'act1': 'linear', 'units2': 124, 'act2': 'selu', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, 113, {'epochs': 248, 'units1': 111, 'act1': 'relu', 'units2': 109, 'act2': 'selu', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
