Generation: 35
2, 245, 596, {'epochs': 236, 'units1': 148, 'act1': 'linear', 'units2': 50, 'act2': 'linear', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 164, 'units1': 119, 'act1': 'tanh', 'units2': 245, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 200, 116, {'epochs': 81, 'units1': 9, 'act1': 'elu', 'units2': 150, 'act2': 'elu', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 25, -204, {'epochs': 84, 'units1': 261, 'act1': 'elu', 'units2': 245, 'act2': 'tanh', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
2, 19, 308, {'epochs': 65, 'units1': 153, 'act1': 'tanh', 'units2': 22, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 211, 'units1': 57, 'act1': 'selu', 'units2': 220, 'act2': 'selu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 33, 'units1': 217, 'act1': 'linear', 'units2': 166, 'act2': 'linear', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 18, -174, {'epochs': 209, 'units1': 63, 'act1': 'selu', 'units2': 191, 'act2': 'selu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, 110, {'epochs': 190, 'units1': 184, 'act1': 'elu', 'units2': 89, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 20, -208, {'epochs': 197, 'units1': 46, 'act1': 'selu', 'units2': 140, 'act2': 'selu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
2, 18, 315, {'epochs': 28, 'units1': 40, 'act1': 'linear', 'units2': 148, 'act2': 'linear', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 19, -198, {'epochs': 34, 'units1': 211, 'act1': 'linear', 'units2': 171, 'act2': 'linear', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 18, -194, {'epochs': 221, 'units1': 71, 'act1': 'selu', 'units2': 144, 'act2': 'selu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 200, 116, {'epochs': 169, 'units1': 124, 'act1': 'linear', 'units2': 245, 'act2': 'tanh', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, -66904, {'epochs': 107, 'units1': 47, 'act1': 'linear', 'units2': 194, 'act2': 'tanh', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 32, -181, {'epochs': 24, 'units1': 251, 'act1': 'tanh', 'units2': 159, 'act2': 'elu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 200, -66904, {'epochs': 229, 'units1': 153, 'act1': 'linear', 'units2': 57, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 200, -62892, {'epochs': 232, 'units1': 155, 'act1': 'linear', 'units2': 63, 'act2': 'linear', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 114, 'units1': 38, 'act1': 'selu', 'units2': 109, 'act2': 'selu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 200, 107, {'epochs': 85, 'units1': 14, 'act1': 'elu', 'units2': 156, 'act2': 'elu', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 200, 107, {'epochs': 214, 'units1': 60, 'act1': 'selu', 'units2': 184, 'act2': 'selu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 25, -192, {'epochs': 197, 'units1': 45, 'act1': 'selu', 'units2': 134, 'act2': 'selu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 200, 91, {'epochs': 219, 'units1': 143, 'act1': 'elu', 'units2': 226, 'act2': 'tanh', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
5, 62, 1850, {'epochs': 209, 'units1': 143, 'act1': 'tanh', 'units2': 239, 'act2': 'elu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 18, -197, {'epochs': 86, 'units1': 1, 'act1': 'elu', 'units2': 154, 'act2': 'elu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 200, -59901, {'epochs': 94, 'units1': 15, 'act1': 'elu', 'units2': 156, 'act2': 'elu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 30, -171, {'epochs': 162, 'units1': 67, 'act1': 'tanh', 'units2': 91, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 9, -203, {'epochs': 69, 'units1': 157, 'act1': 'tanh', 'units2': 22, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 200, 122, {'epochs': 265, 'units1': 185, 'act1': 'linear', 'units2': 113, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 200, 105, {'epochs': 133, 'units1': 125, 'act1': 'linear', 'units2': 198, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 200, -63895, {'epochs': 194, 'units1': 35, 'act1': 'selu', 'units2': 139, 'act2': 'selu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 9, -212, {'epochs': 85, 'units1': 14, 'act1': 'elu', 'units2': 156, 'act2': 'elu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 20, -196, {'epochs': 106, 'units1': 28, 'act1': 'linear', 'units2': 172, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 9, -188, {'epochs': 76, 'units1': 152, 'act1': 'tanh', 'units2': 20, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 200, -62892, {'epochs': 158, 'units1': 191, 'act1': 'tanh', 'units2': 124, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, 108, {'epochs': 114, 'units1': 35, 'act1': 'selu', 'units2': 107, 'act2': 'selu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 19, -198, {'epochs': 82, 'units1': 4, 'act1': 'elu', 'units2': 153, 'act2': 'elu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
4, 438, -1403, {'epochs': 180, 'units1': 56, 'act1': 'selu', 'units2': 151, 'act2': 'selu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
