Generation: 1
1, 200, -43.0, {'epochs': 1, 'units1': 10, 'act1': 'selu', 'units2': 12, 'act2': 'elu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 200, -43.0, {'epochs': 1, 'units1': 10, 'act1': 'elu', 'units2': 12, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 11, -215.5, {'epochs': 1, 'units1': 10, 'act1': 'selu', 'units2': 12, 'act2': 'elu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 200, -50.5, {'epochs': 1, 'units1': 10, 'act1': 'selu', 'units2': 12, 'act2': 'elu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 10, -216.5, {'epochs': 1, 'units1': 10, 'act1': 'selu', 'units2': 12, 'act2': 'elu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 10, -214.0, {'epochs': 1, 'units1': 10, 'act1': 'selu', 'units2': 12, 'act2': 'elu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
2, 15, -94.0, {'epochs': 1, 'units1': 10, 'act1': 'selu', 'units2': 12, 'act2': 'elu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, -50.5, {'epochs': 1, 'units1': 10, 'act1': 'selu', 'units2': 12, 'act2': 'elu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -215.0, {'epochs': 1, 'units1': 10, 'act1': 'elu', 'units2': 12, 'act2': 'selu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 200, -50.5, {'epochs': 1, 'units1': 10, 'act1': 'selu', 'units2': 12, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
Generation: 8
1, 200, -48.0, {'epochs': 1, 'units1': 10, 'act1': 'selu', 'units2': 12, 'act2': 'elu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 19, -207.5, {'epochs': 1, 'units1': 10, 'act1': 'elu', 'units2': 12, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 200, -65.5, {'epochs': 1, 'units1': 10, 'act1': 'selu', 'units2': 12, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 200, -53.0, {'epochs': 1, 'units1': 10, 'act1': 'elu', 'units2': 12, 'act2': 'selu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
5, 55, 216.0, {'epochs': 1, 'units1': 10, 'act1': 'selu', 'units2': 12, 'act2': 'elu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 28, -221.0, {'epochs': 1, 'units1': 10, 'act1': 'elu', 'units2': 12, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 200, -50.5, {'epochs': 1, 'units1': 10, 'act1': 'selu', 'units2': 12, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 12, -192.0, {'epochs': 1, 'units1': 10, 'act1': 'selu', 'units2': 12, 'act2': 'elu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
