Generation: 1
1, 9, -189, {'epochs': 196, 'units1': 223, 'act1': 'tanh', 'units2': 254, 'act2': 'softmax', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
3, 42, 844, {'epochs': 52, 'units1': 243, 'act1': 'relu', 'units2': 27, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 10, -213, {'epochs': 104, 'units1': 105, 'act1': 'elu', 'units2': 132, 'act2': 'linear', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 9, -188, {'epochs': 174, 'units1': 243, 'act1': 'tanh', 'units2': 170, 'act2': 'sigmoid', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 9, -206, {'epochs': 233, 'units1': 187, 'act1': 'elu', 'units2': 83, 'act2': 'softmax', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 112, 'units1': 235, 'act1': 'linear', 'units2': 59, 'act2': 'softmax', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 171, 'units1': 226, 'act1': 'relu', 'units2': 38, 'act2': 'relu', 'act3': 'softmax', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 200, -574, {'epochs': 112, 'units1': 249, 'act1': 'softmax', 'units2': 238, 'act2': 'elu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 18, -194, {'epochs': 102, 'units1': 179, 'act1': 'linear', 'units2': 164, 'act2': 'linear', 'act3': 'softmax', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 9, -203, {'epochs': 40, 'units1': 133, 'act1': 'sigmoid', 'units2': 235, 'act2': 'selu', 'act3': 'softmax', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 9, -212, {'epochs': 254, 'units1': 240, 'act1': 'sigmoid', 'units2': 162, 'act2': 'softmax', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, -571, {'epochs': 98, 'units1': 29, 'act1': 'softmax', 'units2': 117, 'act2': 'tanh', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
