Generation: 2
1, 9, -212, {'epochs': 107, 'units1': 106, 'act1': 'softmax', 'units2': 250, 'act2': 'selu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
2, 17, 307, {'epochs': 191, 'units1': 3, 'act1': 'elu', 'units2': 121, 'act2': 'tanh', 'act3': 'softmax', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 9, -203, {'epochs': 121, 'units1': 28, 'act1': 'softmax', 'units2': 227, 'act2': 'relu', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, -571, {'epochs': 223, 'units1': 193, 'act1': 'linear', 'units2': 246, 'act2': 'relu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 9, -185, {'epochs': 78, 'units1': 214, 'act1': 'tanh', 'units2': 78, 'act2': 'selu', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 200, -519, {'epochs': 109, 'units1': 7, 'act1': 'linear', 'units2': 134, 'act2': 'tanh', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 9, -222, {'epochs': 184, 'units1': 57, 'act1': 'linear', 'units2': 216, 'act2': 'linear', 'act3': 'sigmoid', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 10, -213, {'epochs': 166, 'units1': 178, 'act1': 'selu', 'units2': 159, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 21, -194, {'epochs': 157, 'units1': 7, 'act1': 'selu', 'units2': 44, 'act2': 'relu', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, -571, {'epochs': 17, 'units1': 3, 'act1': 'sigmoid', 'units2': 64, 'act2': 'linear', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 200, -571, {'epochs': 200, 'units1': 130, 'act1': 'softmax', 'units2': 56, 'act2': 'linear', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 200, 110, {'epochs': 32, 'units1': 179, 'act1': 'linear', 'units2': 93, 'act2': 'selu', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 200, -571, {'epochs': 101, 'units1': 188, 'act1': 'sigmoid', 'units2': 25, 'act2': 'linear', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 200, -574, {'epochs': 40, 'units1': 175, 'act1': 'softmax', 'units2': 103, 'act2': 'linear', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 41, 'units1': 199, 'act1': 'elu', 'units2': 54, 'act2': 'linear', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 200, 116, {'epochs': 215, 'units1': 96, 'act1': 'elu', 'units2': 115, 'act2': 'linear', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 200, 108, {'epochs': 215, 'units1': 201, 'act1': 'relu', 'units2': 246, 'act2': 'linear', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 200, 116, {'epochs': 15, 'units1': 17, 'act1': 'tanh', 'units2': 230, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
4, 247, 964, {'epochs': 32, 'units1': 80, 'act1': 'tanh', 'units2': 53, 'act2': 'selu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 21, -204, {'epochs': 34, 'units1': 164, 'act1': 'elu', 'units2': 161, 'act2': 'linear', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 49, 'units1': 176, 'act1': 'elu', 'units2': 56, 'act2': 'tanh', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, -574, {'epochs': 192, 'units1': 238, 'act1': 'selu', 'units2': 202, 'act2': 'sigmoid', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
5, 184, 1939, {'epochs': 32, 'units1': 156, 'act1': 'linear', 'units2': 191, 'act2': 'selu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, 116, {'epochs': 103, 'units1': 25, 'act1': 'relu', 'units2': 204, 'act2': 'selu', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, -545, {'epochs': 236, 'units1': 222, 'act1': 'linear', 'units2': 253, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 200, -574, {'epochs': 23, 'units1': 179, 'act1': 'sigmoid', 'units2': 189, 'act2': 'selu', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 20, -217, {'epochs': 46, 'units1': 19, 'act1': 'tanh', 'units2': 96, 'act2': 'linear', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 200, 106, {'epochs': 233, 'units1': 49, 'act1': 'elu', 'units2': 95, 'act2': 'relu', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 200, -319, {'epochs': 111, 'units1': 179, 'act1': 'selu', 'units2': 185, 'act2': 'linear', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
2, 203, -79, {'epochs': 189, 'units1': 124, 'act1': 'selu', 'units2': 174, 'act2': 'softmax', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 200, 83, {'epochs': 63, 'units1': 189, 'act1': 'elu', 'units2': 50, 'act2': 'tanh', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
