Generation: 1
1, 9, -215.0, {'epochs': 2, 'units1': 15, 'act1': 'relu', 'units2': 13, 'act2': 'tanh', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 9, -200.0, {'epochs': 32, 'units1': 56, 'act1': 'tanh', 'units2': 30, 'act2': 'relu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
2, 202, 49.0, {'epochs': 4, 'units1': 16, 'act1': 'relu', 'units2': 14, 'act2': 'tanh', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 9, -215.0, {'epochs': 5, 'units1': 16, 'act1': 'elu', 'units2': 13, 'act2': 'relu', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 10, -216.5, {'epochs': 4, 'units1': 14, 'act1': 'relu', 'units2': 11, 'act2': 'elu', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 50, -221.5, {'epochs': 3, 'units1': 15, 'act1': 'relu', 'units2': 13, 'act2': 'tanh', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 200, -50.5, {'epochs': 4, 'units1': 13, 'act1': 'relu', 'units2': 9, 'act2': 'elu', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 9, -212.5, {'epochs': 4, 'units1': 13, 'act1': 'relu', 'units2': 9, 'act2': 'elu', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
Generation: 5
2, 1, -103.0, {'epochs': 2, 'units1': 12, 'act1': 'tanh', 'units2': 10, 'act2': 'relu', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 9, -205.0, {'epochs': 15, 'units1': 20, 'act1': 'relu', 'units2': 75, 'act2': 'tanh', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 9, -215.0, {'epochs': 7, 'units1': 19, 'act1': 'elu', 'units2': 13, 'act2': 'relu', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 200, -43.0, {'epochs': 3, 'units1': 16, 'act1': 'relu', 'units2': 15, 'act2': 'tanh', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 9, -195.0, {'epochs': 12, 'units1': 110, 'act1': 'tanh', 'units2': 82, 'act2': 'relu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 21, -208.0, {'epochs': 3, 'units1': 12, 'act1': 'tanh', 'units2': 10, 'act2': 'relu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 13, -198.5, {'epochs': 4, 'units1': 13, 'act1': 'relu', 'units2': 9, 'act2': 'elu', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 9, -202.5, {'epochs': 4, 'units1': 13, 'act1': 'relu', 'units2': 9, 'act2': 'elu', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 9, -215.0, {'epochs': 74, 'units1': 64, 'act1': 'relu', 'units2': 69, 'act2': 'elu', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, -60.5, {'epochs': 36, 'units1': 110, 'act1': 'tanh', 'units2': 71, 'act2': 'relu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 10, -216.5, {'epochs': 3, 'units1': 12, 'act1': 'tanh', 'units2': 10, 'act2': 'relu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 200, -50.5, {'epochs': 3, 'units1': 12, 'act1': 'tanh', 'units2': 10, 'act2': 'relu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 21, -208.0, {'epochs': 2, 'units1': 10, 'act1': 'relu', 'units2': 8, 'act2': 'tanh', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
11, 190, 908.5, {'epochs': 3, 'units1': 12, 'act1': 'relu', 'units2': 8, 'act2': 'elu', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
5, 83, 251.5, {'epochs': 60, 'units1': 79, 'act1': 'tanh', 'units2': 74, 'act2': 'relu', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 11, -190.5, {'epochs': 1, 'units1': 10, 'act1': 'relu', 'units2': 8, 'act2': 'tanh', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 33, -213.5, {'epochs': 2, 'units1': 11, 'act1': 'tanh', 'units2': 9, 'act2': 'relu', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 10, -191.5, {'epochs': 2, 'units1': 10, 'act1': 'relu', 'units2': 8, 'act2': 'tanh', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
