Generation: 1
1, 5, -193, {'epochs': 249, 'units1': 60, 'act1': 'linear', 'units2': 139, 'act2': 'relu', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 3, -197, {'epochs': 1, 'units1': 166, 'act1': 'tanh', 'units2': 35, 'act2': 'relu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 4, -201, {'epochs': 247, 'units1': 229, 'act1': 'relu', 'units2': 82, 'act2': 'selu', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 2, -199, {'epochs': 93, 'units1': 91, 'act1': 'selu', 'units2': 32, 'act2': 'relu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 3, -197, {'epochs': 249, 'units1': 60, 'act1': 'linear', 'units2': 139, 'act2': 'relu', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 4, -201, {'epochs': 61, 'units1': 235, 'act1': 'elu', 'units2': 80, 'act2': 'linear', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 8, -190, {'epochs': 144, 'units1': 170, 'act1': 'relu', 'units2': 85, 'act2': 'selu', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 9, -191, {'epochs': 1, 'units1': 166, 'act1': 'tanh', 'units2': 35, 'act2': 'relu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 7, -192, {'epochs': 247, 'units1': 229, 'act1': 'relu', 'units2': 82, 'act2': 'selu', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 7, -198, {'epochs': 93, 'units1': 91, 'act1': 'selu', 'units2': 32, 'act2': 'relu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 7, -189, {'epochs': 249, 'units1': 60, 'act1': 'linear', 'units2': 139, 'act2': 'relu', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 12, -191, {'epochs': 61, 'units1': 235, 'act1': 'elu', 'units2': 80, 'act2': 'linear', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
