Generation: 2
1, 9, -212, {'epochs': 14, 'units1': 133, 'act1': 'tanh', 'units2': 18, 'act2': 'elu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, -574, {'epochs': 179, 'units1': 84, 'act1': 'sigmoid', 'units2': 24, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 3, 'units1': 132, 'act1': 'relu', 'units2': 248, 'act2': 'tanh', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 200, -519, {'epochs': 13, 'units1': 131, 'act1': 'tanh', 'units2': 27, 'act2': 'elu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 10, -213, {'epochs': 54, 'units1': 170, 'act1': 'tanh', 'units2': 73, 'act2': 'selu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
Generation: 2
1, 9, -185, {'epochs': 52, 'units1': 243, 'act1': 'relu', 'units2': 27, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 200, -571, {'epochs': 233, 'units1': 57, 'act1': 'relu', 'units2': 204, 'act2': 'selu', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
2, 212, -47, {'epochs': 119, 'units1': 199, 'act1': 'relu', 'units2': 148, 'act2': 'selu', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 20, -161, {'epochs': 48, 'units1': 62, 'act1': 'tanh', 'units2': 131, 'act2': 'elu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 20, -196, {'epochs': 190, 'units1': 66, 'act1': 'selu', 'units2': 49, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
2, 217, 621, {'epochs': 179, 'units1': 99, 'act1': 'linear', 'units2': 67, 'act2': 'relu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 25, -192, {'epochs': 42, 'units1': 116, 'act1': 'linear', 'units2': 70, 'act2': 'elu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 15, -203, {'epochs': 55, 'units1': 134, 'act1': 'selu', 'units2': 87, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 10, -213, {'epochs': 219, 'units1': 214, 'act1': 'selu', 'units2': 249, 'act2': 'selu', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
4, 367, 893, {'epochs': 27, 'units1': 236, 'act1': 'selu', 'units2': 249, 'act2': 'linear', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 19, -222, {'epochs': 252, 'units1': 218, 'act1': 'tanh', 'units2': 135, 'act2': 'selu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, -571, {'epochs': 174, 'units1': 243, 'act1': 'tanh', 'units2': 170, 'act2': 'sigmoid', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 9, -212, {'epochs': 269, 'units1': 301, 'act1': 'tanh', 'units2': 318, 'act2': 'softmax', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
2, 100, 274, {'epochs': 208, 'units1': 122, 'act1': 'elu', 'units2': 191, 'act2': 'linear', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 102, 'units1': 179, 'act1': 'linear', 'units2': 164, 'act2': 'linear', 'act3': 'softmax', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 200, 107, {'epochs': 159, 'units1': 232, 'act1': 'relu', 'units2': 9, 'act2': 'elu', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 66, -176, {'epochs': 9, 'units1': 96, 'act1': 'elu', 'units2': 147, 'act2': 'selu', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 9, -203, {'epochs': 324, 'units1': 155, 'act1': 'selu', 'units2': 47, 'act2': 'softmax', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 200, -571, {'epochs': 40, 'units1': 133, 'act1': 'sigmoid', 'units2': 235, 'act2': 'selu', 'act3': 'softmax', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, -571, {'epochs': 198, 'units1': 46, 'act1': 'sigmoid', 'units2': 105, 'act2': 'tanh', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 9, -203, {'epochs': 233, 'units1': 187, 'act1': 'elu', 'units2': 83, 'act2': 'softmax', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 200, -571, {'epochs': 106, 'units1': 213, 'act1': 'sigmoid', 'units2': 177, 'act2': 'linear', 'act3': 'softmax', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 200, -574, {'epochs': 189, 'units1': 14, 'act1': 'selu', 'units2': 68, 'act2': 'relu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 200, -574, {'epochs': 35, 'units1': 179, 'act1': 'softmax', 'units2': 70, 'act2': 'relu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 19, -195, {'epochs': 241, 'units1': 94, 'act1': 'linear', 'units2': 196, 'act2': 'relu', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 9, -209, {'epochs': 56, 'units1': 133, 'act1': 'tanh', 'units2': 91, 'act2': 'selu', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 39, 'units1': 134, 'act1': 'selu', 'units2': 231, 'act2': 'sigmoid', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 9, -203, {'epochs': 41, 'units1': 176, 'act1': 'relu', 'units2': 67, 'act2': 'softmax', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 200, -554, {'epochs': 3, 'units1': 99, 'act1': 'selu', 'units2': 150, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
3, 163, 850, {'epochs': 3, 'units1': 99, 'act1': 'selu', 'units2': 147, 'act2': 'elu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
2, 33, 344, {'epochs': 185, 'units1': 96, 'act1': 'relu', 'units2': 67, 'act2': 'linear', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 19, -222, {'epochs': 161, 'units1': 280, 'act1': 'linear', 'units2': 228, 'act2': 'linear', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, -574, {'epochs': 102, 'units1': 211, 'act1': 'linear', 'units2': 180, 'act2': 'sigmoid', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
2, 11, 310, {'epochs': 42, 'units1': 116, 'act1': 'elu', 'units2': 70, 'act2': 'linear', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 200, 113, {'epochs': 42, 'units1': 116, 'act1': 'elu', 'units2': 70, 'act2': 'linear', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 19, -195, {'epochs': 48, 'units1': 250, 'act1': 'linear', 'units2': 31, 'act2': 'relu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, 87, {'epochs': 231, 'units1': 206, 'act1': 'linear', 'units2': 219, 'act2': 'elu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 20, -196, {'epochs': 14, 'units1': 99, 'act1': 'selu', 'units2': 154, 'act2': 'elu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 9, -200, {'epochs': 169, 'units1': 240, 'act1': 'sigmoid', 'units2': 163, 'act2': 'tanh', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, -276, {'epochs': 185, 'units1': 64, 'act1': 'elu', 'units2': 51, 'act2': 'selu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 200, 119, {'epochs': 14, 'units1': 98, 'act1': 'selu', 'units2': 145, 'act2': 'elu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 9, -212, {'epochs': 196, 'units1': 35, 'act1': 'tanh', 'units2': 107, 'act2': 'sigmoid', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 35, -184, {'epochs': 54, 'units1': 254, 'act1': 'linear', 'units2': 25, 'act2': 'relu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 200, -571, {'epochs': 38, 'units1': 179, 'act1': 'relu', 'units2': 68, 'act2': 'softmax', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 99, 'units1': 179, 'act1': 'linear', 'units2': 166, 'act2': 'linear', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 200, -574, {'epochs': 57, 'units1': 137, 'act1': 'tanh', 'units2': 92, 'act2': 'selu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 21, -194, {'epochs': 231, 'units1': 54, 'act1': 'selu', 'units2': 199, 'act2': 'relu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 9, -212, {'epochs': 191, 'units1': 8, 'act1': 'relu', 'units2': 73, 'act2': 'selu', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 157, 'units1': 238, 'act1': 'elu', 'units2': 4, 'act2': 'relu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 200, -574, {'epochs': 236, 'units1': 138, 'act1': 'softmax', 'units2': 39, 'act2': 'selu', 'act3': 'softmax', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
