Generation: 1
1, 9, -207.5, {'epochs': 4, 'units1': 15, 'act1': 'relu', 'units2': 6, 'act2': 'tanh', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 9, -215.0, {'epochs': 4, 'units1': 14, 'act1': 'relu', 'units2': 4, 'act2': 'tanh', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 19, -227.5, {'epochs': 5, 'units1': 16, 'act1': 'relu', 'units2': 5, 'act2': 'relu', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, -53.0, {'epochs': 5, 'units1': 19, 'act1': 'linear', 'units2': 10, 'act2': 'tanh', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 10, -191.5, {'epochs': 4, 'units1': 15, 'act1': 'relu', 'units2': 6, 'act2': 'tanh', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, -50.5, {'epochs': 8, 'units1': 21, 'act1': 'relu', 'units2': 4, 'act2': 'relu', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 200, -43.0, {'epochs': 7, 'units1': 22, 'act1': 'linear', 'units2': 9, 'act2': 'tanh', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
Generation: 4
1, 10, -216.5, {'epochs': 6, 'units1': 18, 'act1': 'relu', 'units2': 6, 'act2': 'relu', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 200, -53.0, {'epochs': 7, 'units1': 22, 'act1': 'linear', 'units2': 9, 'act2': 'tanh', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
4, 63, 124.0, {'epochs': 34, 'units1': 30, 'act1': 'relu', 'units2': 20, 'act2': 'relu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 9, -207.5, {'epochs': 8, 'units1': 21, 'act1': 'relu', 'units2': 4, 'act2': 'relu', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 9, -202.5, {'epochs': 6, 'units1': 15, 'act1': 'relu', 'units2': 3, 'act2': 'relu', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 9, -197.5, {'epochs': 6, 'units1': 15, 'act1': 'relu', 'units2': 3, 'act2': 'relu', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
4, 59, 130.0, {'epochs': 5, 'units1': 15, 'act1': 'relu', 'units2': 4, 'act2': 'relu', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 9, -215.0, {'epochs': 5, 'units1': 16, 'act1': 'tanh', 'units2': 5, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, -50.5, {'epochs': 4, 'units1': 14, 'act1': 'relu', 'units2': 5, 'act2': 'relu', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, -53.0, {'epochs': 4, 'units1': 15, 'act1': 'tanh', 'units2': 5, 'act2': 'linear', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 200, -50.5, {'epochs': 101, 'units1': 29, 'act1': 'relu', 'units2': 98, 'act2': 'relu', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 17, -207.0, {'epochs': 5, 'units1': 16, 'act1': 'tanh', 'units2': 5, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 19, -205.0, {'epochs': 6, 'units1': 16, 'act1': 'relu', 'units2': 3, 'act2': 'relu', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 9, -215.0, {'epochs': 7, 'units1': 18, 'act1': 'relu', 'units2': 1, 'act2': 'relu', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, -43.0, {'epochs': 6, 'units1': 15, 'act1': 'relu', 'units2': 3, 'act2': 'relu', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 28, -221.0, {'epochs': 6, 'units1': 15, 'act1': 'relu', 'units2': 3, 'act2': 'relu', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 9, -215.0, {'epochs': 4, 'units1': 16, 'act1': 'tanh', 'units2': 6, 'act2': 'linear', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 9, -215.0, {'epochs': 4, 'units1': 16, 'act1': 'tanh', 'units2': 6, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
Generation: 5
1, 200, -70.5, {'epochs': 5, 'units1': 15, 'act1': 'relu', 'units2': 4, 'act2': 'relu', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 200, -43.0, {'epochs': 34, 'units1': 30, 'act1': 'relu', 'units2': 20, 'act2': 'relu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 13, -218.5, {'epochs': 18, 'units1': 18, 'act1': 'relu', 'units2': 11, 'act2': 'relu', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 13, -193.5, {'epochs': 10, 'units1': 14, 'act1': 'relu', 'units2': 7, 'act2': 'relu', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 200, -53.0, {'epochs': 10, 'units1': 14, 'act1': 'relu', 'units2': 7, 'act2': 'relu', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 200, -53.0, {'epochs': 18, 'units1': 18, 'act1': 'relu', 'units2': 11, 'act2': 'relu', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 9, -215.0, {'epochs': 19, 'units1': 20, 'act1': 'relu', 'units2': 10, 'act2': 'relu', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 200, -50.5, {'epochs': 12, 'units1': 17, 'act1': 'relu', 'units2': 5, 'act2': 'relu', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 18, -208.5, {'epochs': 19, 'units1': 20, 'act1': 'relu', 'units2': 10, 'act2': 'relu', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 9, -215.0, {'epochs': 53, 'units1': 99, 'act1': 'relu', 'units2': 74, 'act2': 'relu', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 9, -215.0, {'epochs': 4, 'units1': 12, 'act1': 'relu', 'units2': 2, 'act2': 'relu', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 9, -215.0, {'epochs': 5, 'units1': 13, 'act1': 'relu', 'units2': 1, 'act2': 'relu', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 17, -207.0, {'epochs': 25, 'units1': 22, 'act1': 'relu', 'units2': 15, 'act2': 'relu', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 19, -207.5, {'epochs': 25, 'units1': 22, 'act1': 'relu', 'units2': 15, 'act2': 'relu', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
Generation: 6
1, 10, -216.5, {'epochs': 36, 'units1': 92, 'act1': 'relu', 'units2': 34, 'act2': 'relu', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 200, -50.5, {'epochs': 89, 'units1': 59, 'act1': 'relu', 'units2': 62, 'act2': 'relu', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 21, -208.0, {'epochs': 28, 'units1': 70, 'act1': 'relu', 'units2': 89, 'act2': 'relu', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 9, -215.0, {'epochs': 59, 'units1': 68, 'act1': 'relu', 'units2': 80, 'act2': 'relu', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
Generation: 7
1, 200, -43.0, {'epochs': 5, 'units1': 96, 'act1': 'relu', 'units2': 52, 'act2': 'relu', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 200, -53.0, {'epochs': 31, 'units1': 42, 'act1': 'relu', 'units2': 23, 'act2': 'relu', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
Generation: 8
1, 18, -208.5, {'epochs': 20, 'units1': 38, 'act1': 'relu', 'units2': 70, 'act2': 'relu', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 200, -40.5, {'epochs': 64, 'units1': 45, 'act1': 'relu', 'units2': 82, 'act2': 'relu', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
Generation: 9
1, 9, -215.0, {'epochs': 102, 'units1': 50, 'act1': 'relu', 'units2': 34, 'act2': 'relu', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 200, -45.5, {'epochs': 5, 'units1': 37, 'act1': 'relu', 'units2': 76, 'act2': 'relu', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 18, -228.5, {'epochs': 47, 'units1': 84, 'act1': 'relu', 'units2': 95, 'act2': 'relu', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 10, -191.5, {'epochs': 8, 'units1': 11, 'act1': 'relu', 'units2': 6, 'act2': 'relu', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
Generation: 10
1, 200, -53.0, {'epochs': 6, 'units1': 67, 'act1': 'relu', 'units2': 66, 'act2': 'relu', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, -35.5, {'epochs': 23, 'units1': 38, 'act1': 'relu', 'units2': 25, 'act2': 'relu', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
Generation: 11
Generation: 12
1, 200, -75.5, {'epochs': 21, 'units1': 104, 'act1': 'relu', 'units2': 16, 'act2': 'relu', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 200, -45.5, {'epochs': 47, 'units1': 49, 'act1': 'relu', 'units2': 63, 'act2': 'relu', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 200, -35.5, {'epochs': 51, 'units1': 35, 'act1': 'relu', 'units2': 39, 'act2': 'relu', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 20, -211.5, {'epochs': 82, 'units1': 29, 'act1': 'relu', 'units2': 33, 'act2': 'relu', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
Generation: 13
1, 200, -50.5, {'epochs': 17, 'units1': 38, 'act1': 'relu', 'units2': 40, 'act2': 'relu', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
3, 247, 194.0, {'epochs': 81, 'units1': 56, 'act1': 'relu', 'units2': 50, 'act2': 'relu', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, -53.0, {'epochs': 36, 'units1': 70, 'act1': 'relu', 'units2': 62, 'act2': 'relu', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
