Generation: 4
1, 200, 109, {'epochs': 53, 'units1': 159, 'act1': 'tanh', 'units2': 5, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, 109, {'epochs': 40, 'units1': 60, 'act1': 'elu', 'units2': 60, 'act2': 'tanh', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 73, -172, {'epochs': 237, 'units1': 209, 'act1': 'selu', 'units2': 122, 'act2': 'relu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
5, 85, -138, {'epochs': 164, 'units1': 246, 'act1': 'elu', 'units2': 28, 'act2': 'relu', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 17, -196, {'epochs': 117, 'units1': 224, 'act1': 'relu', 'units2': 206, 'act2': 'elu', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 101, 'units1': 60, 'act1': 'elu', 'units2': 168, 'act2': 'tanh', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 169, 'units1': 252, 'act1': 'relu', 'units2': 21, 'act2': 'elu', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 200, -66901, {'epochs': 85, 'units1': 77, 'act1': 'linear', 'units2': 150, 'act2': 'relu', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 10, -186, {'epochs': 108, 'units1': 161, 'act1': 'relu', 'units2': 161, 'act2': 'linear', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 200, -891, {'epochs': 234, 'units1': 110, 'act1': 'sigmoid', 'units2': 40, 'act2': 'relu', 'act3': 'sigmoid', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 74, -170, {'epochs': 120, 'units1': 300, 'act1': 'selu', 'units2': 107, 'act2': 'selu', 'act3': 'softmax', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 173, 'units1': 135, 'act1': 'selu', 'units2': 77, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 10, -213, {'epochs': 53, 'units1': 181, 'act1': 'elu', 'units2': 59, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 9, -206, {'epochs': 254, 'units1': 115, 'act1': 'tanh', 'units2': 197, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
2, 40, 348, {'epochs': 96, 'units1': 128, 'act1': 'relu', 'units2': 26, 'act2': 'relu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
5, 91, 1827, {'epochs': 59, 'units1': 180, 'act1': 'selu', 'units2': 61, 'act2': 'elu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, 116, {'epochs': 40, 'units1': 41, 'act1': 'relu', 'units2': 95, 'act2': 'selu', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, 102, {'epochs': 97, 'units1': 53, 'act1': 'tanh', 'units2': 174, 'act2': 'elu', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 200, -47895, {'epochs': 213, 'units1': 69, 'act1': 'elu', 'units2': 171, 'act2': 'tanh', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, -66904, {'epochs': 139, 'units1': 116, 'act1': 'elu', 'units2': 13, 'act2': 'selu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 22, -195, {'epochs': 37, 'units1': 84, 'act1': 'relu', 'units2': 55, 'act2': 'linear', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
3, 122, -1187, {'epochs': 37, 'units1': 54, 'act1': 'elu', 'units2': 49, 'act2': 'tanh', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
2, 34, 298, {'epochs': 232, 'units1': 221, 'act1': 'relu', 'units2': 112, 'act2': 'selu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 11, -208, {'epochs': 69, 'units1': 220, 'act1': 'elu', 'units2': 136, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 200, -878, {'epochs': 202, 'units1': 237, 'act1': 'selu', 'units2': 108, 'act2': 'elu', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, -66904, {'epochs': 80, 'units1': 66, 'act1': 'relu', 'units2': 155, 'act2': 'linear', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
5, 53, 1838, {'epochs': 201, 'units1': 143, 'act1': 'selu', 'units2': 180, 'act2': 'elu', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 197, 'units1': 47, 'act1': 'relu', 'units2': 229, 'act2': 'softmax', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 10, -213, {'epochs': 236, 'units1': 30, 'act1': 'tanh', 'units2': 38, 'act2': 'linear', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, 84, {'epochs': 122, 'units1': 32, 'act1': 'linear', 'units2': 196, 'act2': 'selu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 19, -202, {'epochs': 62, 'units1': 115, 'act1': 'tanh', 'units2': 37, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 18, -197, {'epochs': 142, 'units1': 139, 'act1': 'linear', 'units2': 129, 'act2': 'selu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 20, -193, {'epochs': 103, 'units1': 189, 'act1': 'relu', 'units2': 224, 'act2': 'linear', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 200, -62889, {'epochs': 216, 'units1': 79, 'act1': 'tanh', 'units2': 173, 'act2': 'elu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, -63889, {'epochs': 184, 'units1': 167, 'act1': 'relu', 'units2': 32, 'act2': 'relu', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 200, -66901, {'epochs': 229, 'units1': 110, 'act1': 'relu', 'units2': 45, 'act2': 'sigmoid', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 10, -186, {'epochs': 137, 'units1': 140, 'act1': 'selu', 'units2': 133, 'act2': 'linear', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 9, -185, {'epochs': 60, 'units1': 46, 'act1': 'elu', 'units2': 86, 'act2': 'softmax', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 200, -66901, {'epochs': 168, 'units1': 143, 'act1': 'elu', 'units2': 157, 'act2': 'softmax', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
