Generation: 1
1, 9, -212, {'epochs': 115, 'units1': 198, 'act1': 'softmax', 'units2': 50, 'act2': 'linear', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
2, 220, -64400, {'epochs': 163, 'units1': 23, 'act1': 'relu', 'units2': 171, 'act2': 'elu', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 10, -183, {'epochs': 126, 'units1': 184, 'act1': 'elu', 'units2': 65, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 200, -66901, {'epochs': 31, 'units1': 6, 'act1': 'elu', 'units2': 149, 'act2': 'relu', 'act3': 'softmax', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 9, -209, {'epochs': 254, 'units1': 73, 'act1': 'selu', 'units2': 43, 'act2': 'softmax', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 156, 'units1': 62, 'act1': 'selu', 'units2': 238, 'act2': 'linear', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
10, 127, 4423, {'epochs': 112, 'units1': 57, 'act1': 'linear', 'units2': 238, 'act2': 'relu', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 34, -157, {'epochs': 55, 'units1': 75, 'act1': 'elu', 'units2': 31, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 200, -66904, {'epochs': 34, 'units1': 247, 'act1': 'linear', 'units2': 246, 'act2': 'sigmoid', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 202, 'units1': 159, 'act1': 'tanh', 'units2': 229, 'act2': 'selu', 'act3': 'softmax', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 200, -64904, {'epochs': 232, 'units1': 62, 'act1': 'linear', 'units2': 69, 'act2': 'linear', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, -61889, {'epochs': 5, 'units1': 100, 'act1': 'linear', 'units2': 27, 'act2': 'tanh', 'act3': 'softmax', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 200, -64895, {'epochs': 233, 'units1': 184, 'act1': 'linear', 'units2': 249, 'act2': 'relu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, -66904, {'epochs': 227, 'units1': 133, 'act1': 'tanh', 'units2': 213, 'act2': 'softmax', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 20, -1193, {'epochs': 82, 'units1': 199, 'act1': 'relu', 'units2': 207, 'act2': 'tanh', 'act3': 'softmax', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, -66901, {'epochs': 65, 'units1': 55, 'act1': 'elu', 'units2': 128, 'act2': 'sigmoid', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 9, -212, {'epochs': 93, 'units1': 162, 'act1': 'elu', 'units2': 145, 'act2': 'linear', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 200, -65898, {'epochs': 247, 'units1': 218, 'act1': 'tanh', 'units2': 98, 'act2': 'tanh', 'act3': 'softmax', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
2, 241, -50386, {'epochs': 235, 'units1': 208, 'act1': 'relu', 'units2': 140, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
